"date","age_sex","lat","lon","Beach","density"
"2016","female",569874.61499557,1837364.54307669,"BMB",0
"2016","female",570010.893725398,1837290.72548514,"MBBU",5
"2016","female",570013.237165849,1837290.1589328,"MBBU",7
"2016","female",570014.639299067,1837295.40488498,"MBBU",13
"2016","female",570015.195685231,1837291.74896431,"MBBU",12
"2016","female",570017.04752263,1837287.69634908,"MBBU",12
"2016","female",570017.561912986,1837290.66687848,"MBBU",15
"2016","female",570017.819937578,1837306.79933084,"MBBU",7
"2016","female",570017.963297915,1837308.7916924,"MBBU",6
"2016","female",570019.173697294,1837297.77184889,"MBBU",19
"2016","female",570019.145132416,1837301.59934464,"MBBU",13
"2016","female",570019.518215882,1837307.21940994,"MBBU",9
"2016","female",570021.055458662,1837301.63553309,"MBBU",13
"2016","female",570022.616635138,1837304.60739316,"MBBU",11
"2016","female",570022.545287581,1837294.64131166,"MBBU",21
"2016","female",570022.235369201,1837290.77023658,"MBBU",18
"2016","female",570023.514746069,1837286.21047823,"MBBU",13
"2016","female",570023.950619584,1837298.66011016,"MBBU",18
"2016","female",570024.360442702,1837294.21668284,"MBBU",20
"2016","female",570024.591849,1837296.18874293,"MBBU",18
"2016","female",570024.541183924,1837301.97815195,"MBBU",14
"2016","female",570024.397722386,1837289.23394749,"MBBU",15
"2016","female",570025.59067881,1837299.70456122,"MBBU",16
"2016","female",570025.61838723,1837292.62475433,"MBBU",17
"2016","female",570027.312103714,1837291.26418943,"MBBU",14
"2016","female",570027.844938567,1837293.49344373,"MBBU",15
"2016","female",570029.838304746,1837291.52577767,"MBBU",13
"2016","female",570033.414819255,1837287.09673084,"MBBU",7
"2016","female",570052.609429557,1837205.81580649,"MBBL",0
"2016","female",570076.095240794,1837219.07783246,"MBBL",2
"2016","female",570078.442720108,1837210.1811505,"MBBL",2
"2016","female",570079.712354484,1837212.46902088,"MBBL",2
"2016","female",570151.763634066,1837065.53194312,"BBNS",0
"2016","female",570162.676008159,1837037.61389358,"BBNS",4
"2016","female",570162.223895806,1837042.67811152,"BBNS",3
"2016","female",570162.578006637,1837045.31019265,"BBNS",2
"2016","female",570168.41546238,1837037.18100163,"BBNS",5
"2016","female",570169.120164789,1837029.39473415,"BBNS",7
"2016","female",570170.279159408,1837026.95052629,"BBNS",6
"2016","female",570170.60415062,1837033.03175868,"BBNS",7
"2016","female",570170.874452338,1837023.83274572,"BBNS",6
"2016","female",570171.873441598,1837030.67335213,"BBNS",7
"2016","female",570172.765371228,1837022.1844603,"BBNS",5
"2016","female",570174.79771356,1837024.66537232,"BBNS",6
"2016","female",570175.22191693,1836883.8249541,"BBN",22
"2016","female",570176.259130788,1836886.72669783,"BBN",26
"2016","female",570176.813710013,1836890.9576596,"BBN",26
"2016","female",570177.009694473,1836877.33224143,"BBN",20
"2016","female",570177.490967906,1836899.76121696,"BBN",20
"2016","female",570177.769839171,1836869.56612185,"BBN",18
"2016","female",570178.014905443,1836889.13712269,"BBN",25
"2016","female",570178.542403427,1836901.74748603,"BBN",19
"2016","female",570178.58730443,1836882.75661616,"BBN",24
"2016","female",570177.846343814,1836894.70824382,"BBN",28
"2016","female",570179.32026594,1836888.59671429,"BBN",26
"2016","female",570178.669637957,1836874.80456293,"BBN",19
"2016","female",570178.716824469,1836861.85178477,"BBN",9
"2016","female",570179.382535217,1836872.00719415,"BBN",17
"2016","female",570178.649339549,1836886.0988632,"BBN",29
"2016","female",570179.354734663,1836859.24930196,"BBN",5
"2016","female",570179.731283067,1836865.49316744,"BBN",12
"2016","female",570179.558070369,1836899.50896077,"BBN",26
"2016","female",570179.877135019,1836878.04990721,"BBN",22
"2016","female",570180.251423737,1836893.02259382,"BBN",31
"2016","female",570180.463623142,1836870.13556608,"BBN",18
"2016","female",570180.621745332,1836862.89312346,"BBN",10
"2016","female",570180.4636723,1836903.1171247,"BBN",20
"2016","female",570180.557817591,1836868.38898038,"BBN",16
"2016","female",570181.358250448,1836877.31486322,"BBN",20
"2016","female",570181.295781819,1836987.75452701,"BBNS",0
"2016","female",570181.306426546,1836872.93602724,"BBN",16
"2016","female",570182.207053919,1837004.73718663,"BBNS",0
"2016","female",570181.562968255,1836894.35243233,"BBN",31
"2016","female",570182.121704126,1836886.64379863,"BBN",29
"2016","female",570181.526730885,1836880.96534035,"BBN",25
"2016","female",570181.78270331,1836889.97407247,"BBN",30
"2016","female",570181.980138189,1836883.71836297,"BBN",27
"2016","female",570182.110604866,1836861.90969836,"BBN",9
"2016","female",570182.558798649,1836888.73492669,"BBN",28
"2016","female",570182.852586524,1836868.75663854,"BBN",15
"2016","female",570183.221739319,1836896.88225698,"BBN",32
"2016","female",570183.184582319,1836870.22557196,"BBN",17
"2016","female",570183.384416086,1836905.59546098,"BBN",17
"2016","female",570183.429006787,1836901.29837166,"BBN",25
"2016","female",570184.034675819,1836887.43166863,"BBN",28
"2016","female",570184.287424792,1836899.13571263,"BBN",27
"2016","female",570184.06792947,1836889.85635626,"BBN",27
"2016","female",570184.847327561,1836909.20807837,"BBN",13
"2016","female",570185.401971984,1836897.95562212,"BBN",28
"2016","female",570185.037888834,1836895.42141128,"BBN",32
"2016","female",570185.272161139,1836904.22990392,"BBN",19
