"animalID","season","date","area","observer","withpup","age","birth_date","precision"
16843,2004,2004-01-05,"TSC","P. Morris, R. Condit","1",4,2004-01-05,6
16843,2004,2004-01-06,"TSC","P. Morris, R. Condit","1",4,2004-01-05,6
16843,2004,2004-01-07,"TSC","P. Morris, R. Condit","1",4,2004-01-05,6
16843,2004,2004-01-10,"TSC","P. Morris, R. Condit","1",4,2004-01-05,6
16843,2004,2004-01-12,"TSC","P. Morris, R. Condit","1",4,2004-01-05,6
16843,2004,2004-01-13,"TSC","P. Morris, R. Condit","1",4,2004-01-05,6
16843,2004,2004-01-21,"TSE","P. Morris, R. Condit","1",4,2004-01-05,6
16843,2004,2004-01-21,"TSC","P. Morris, R. Condit","1",4,2004-01-05,6
16843,2004,2004-01-22,"TSC","P. Morris, R. Condit","1",4,2004-01-05,6
16843,2004,2004-01-23,"TSE","P. Morris, R. Condit","1",4,2004-01-05,6
16843,2004,2004-01-27,"TSC","P. Morris, R. Condit","1",4,2004-01-05,6
10947,2004,2003-12-30,"APG","P. Morris, R. Condit","0",15,2004-01-06,6
10947,2004,2003-12-31,"APG","P. Morris, R. Condit","0",15,2004-01-06,6
10947,2004,2004-01-06,"APG","P. Morris, R. Condit","1",15,2004-01-06,6
10947,2004,2004-01-07,"APG","P. Morris, R. Condit","0",15,2004-01-06,6
10947,2004,2004-01-09,"APG","P. Morris, R. Condit","0",15,2004-01-06,6
10947,2004,2004-01-27,"APG","P. Morris, R. Condit","1",15,2004-01-06,6
19692,2004,2003-12-31,"APG","P. Morris, R. Condit","0",6,2004-01-08,2
19692,2004,2004-01-04,"APG","P. Morris, R. Condit","0",6,2004-01-08,2
19692,2004,2004-01-06,"APG","P. Morris, R. Condit","0",6,2004-01-08,2
19692,2004,2004-01-08,"APG","P. Morris, R. Condit","1",6,2004-01-08,2
19692,2004,2004-01-11,"APG","P. Morris, R. Condit","2",6,2004-01-08,2
16645,2004,2003-12-31,"APG","P. Morris, R. Condit","0",4,2004-01-02,2
16645,2004,2004-01-02,"APG","P. Morris, R. Condit","2",4,2004-01-02,2
16645,2004,2004-01-04,"APG","P. Morris, R. Condit","1",4,2004-01-02,2
16645,2004,2004-01-05,"APG","P. Morris, R. Condit","1",4,2004-01-02,2
16645,2004,2004-01-07,"APG","P. Morris, R. Condit","2",4,2004-01-02,2
16645,2004,2004-01-09,"APG","P. Morris, R. Condit","2",4,2004-01-02,2
16645,2004,2004-01-10,"APG","P. Morris, R. Condit","2",4,2004-01-02,2
16645,2004,2004-01-11,"APG","P. Morris, R. Condit","2",4,2004-01-02,2
16645,2004,2004-01-17,"APG","P. Morris, R. Condit","1",4,2004-01-02,2
16645,2004,2004-01-20,"APG","P. Morris, R. Condit","1",4,2004-01-02,2
13222,2004,2004-01-02,"BMC","P. Morris, R. Condit","0",20,2004-01-06,2
13222,2004,2004-01-04,"BMS","P. Morris, R. Condit","0",20,2004-01-06,2
13222,2004,2004-01-06,"BMS","P. Morris, R. Condit","1",20,2004-01-06,2
13222,2004,2004-01-07,"BMS","P. Morris, R. Condit","1",20,2004-01-06,2
13222,2004,2004-01-08,"BMS","P. Morris, R. Condit","1",20,2004-01-06,2
13222,2004,2004-01-11,"BMS","P. Morris, R. Condit","1",20,2004-01-06,2
13222,2004,2004-01-12,"BMS","P. Morris, R. Condit","1",20,2004-01-06,2
13222,2004,2004-01-13,"BMS","P. Morris, R. Condit","1",20,2004-01-06,2
13222,2004,2004-01-16,"BMS","P. Morris, R. Condit","1",20,2004-01-06,2
13222,2004,2004-01-19,"BMS","P. Morris, R. Condit","1",20,2004-01-06,2
13222,2004,2004-01-21,"BMS","P. Morris, R. Condit","1",20,2004-01-06,2
13222,2004,2004-01-21,"BMS","P. Morris, R. Condit","1",20,2004-01-06,2
13222,2004,2004-01-22,"BMS","P. Morris, R. Condit","1",20,2004-01-06,2
13222,2004,2004-01-26,"BMS","P. Morris, R. Condit","1",20,2004-01-06,2
13222,2004,2004-01-27,"BMS","P. Morris, R. Condit","1",20,2004-01-06,2
13222,2004,2004-01-29,"BMS","P. Morris, R. Condit","1",20,2004-01-06,2
14460,2004,2004-01-04,"BBN","P. Morris, R. Condit","0",8,2004-01-13,4
14460,2004,2004-01-09,"BBN","P. Morris, R. Condit","0",8,2004-01-13,4
14460,2004,2004-01-13,"BBN","P. Morris, R. Condit","1",8,2004-01-13,4
14460,2004,2004-01-23,"BBN","P. Morris, R. Condit","1",8,2004-01-13,4
20327,2004,2004-01-04,"APG","P. Morris, R. Condit","1",2004,2004-01-04,NA
20327,2004,2004-01-11,"APG","P. Morris, R. Condit","0",2004,2004-01-04,NA
20327,2004,2004-01-13,"APG","P. Morris, R. Condit","0",2004,2004-01-04,NA
20327,2004,2004-01-22,"SBW","P. Morris, R. Condit","0",2004,2004-01-04,NA
18139,2004,2004-01-04,"AP","P. Morris, R. Condit","0",2004,2004-01-09,5
18139,2004,2004-01-09,"AP","P. Morris, R. Condit","1",2004,2004-01-09,5
18139,2004,2004-01-26,"AP","P. Morris, R. Condit","1",2004,2004-01-09,5
18139,2004,2004-01-31,"AP","P. Morris, R. Condit","1",2004,2004-01-09,5
10918,2004,2004-01-04,"APG","P. Morris, R. Condit","0",15,NA,NA
20310,2004,2004-01-04,"APG","P. Morris, R. Condit","0",2004,2004-01-11,6
20310,2004,2004-01-05,"AP","P. Morris, R. Condit","0",2004,2004-01-11,6
20310,2004,2004-01-11,"APG","P. Morris, R. Condit","1",2004,2004-01-11,6
