YY,MM,DD,hh,WD,WSPD GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS
1999,1,3,17,80,6.7  8.2,2.33,16.67,8.13,284,1019.4,12.1,11,999,99
1999,1,3,18,81,8.0  9.9,2.64,16.67,8.05,279,1019.9,12.1,11,999,99
1999,1,3,19,87,8.4 10.2,2.39,16.67,8.32,282,1020.4,12.9,11,999,99
1999,1,3,20,91,6.5  8.1,2.68,14.29,9.04,284,1020.4,12.9,11,999,99
1999,1,3,21,95,6.0  7.2,2.16,16.67,7.76,279,1020.2,12.8,11,999,99
1999,1,3,22,91,4.7  6.7,2.09,14.29,8.9,276,1020.2,12.9,11,999,99
1999,1,3,23,90,3.4  4.6,2.32,14.29,11.32,290,1020.5,13,11.3,999,99
1999,1,4,0,99,3.4  4.3,2.16,16.67,11.07,271,1020.9,14.2,11.3,999,99
1999,1,4,1,87,2.5  3.6,2.1,16.67,11.26,262,1021.3,13,11.3,999,99
1999,1,4,2,104,2.4  3.5,1.88,16.67,10.99,276,1021.8,12.9,11.2,999,99
1999,1,4,3,161,3.5  4.1,2.06,16.67,11.67,278,1022.1,13.3,11,999,99
1999,1,4,4,143,5.3  6.0,2,16.67,11.29,268,1022.5,15.2,11,999,99
1999,1,4,5,153,3.7  5.0,1.74,16.67,10.32,272,1022.9,14.1,11,999,99
1999,1,4,6,86,2.9  3.9,1.81,16.67,11.26,277,1023.5,12.2,11,999,99
1999,1,4,7,96,3.1  4.5,1.78,16.67,11.04,277,1023.9,11.7,11,999,99
1999,1,4,8,106,3.6  4.7,1.95,16.67,11.97,277,1024.1,11.7,11,999,99
1999,1,4,9,92,3.7  4.5,1.57,16.67,10.4,269,1024.2,11.4,11,999,99
1999,1,4,10,99,5.3  6.6,1.97,14.29,11.53,276,1024.2,11.8,11,999,99
1999,1,4,11,109,4.5  5.7,1.67,14.29,10.28,269,1024.6,11.6,11,999,99
1999,1,4,12,90,5.0  6.0,1.82,14.29,9.65,285,1024.3,11.4,11,999,99
1999,1,4,13,92,4.1  5.2,1.55,14.29,9.51,275,1024.5,11.7,11,999,99
1999,1,4,14,95,3.5  4.6,1.89,14.29,9.8,275,1024.9,11.3,11,999,99
1999,1,4,15,86,5.8  7.2,1.63,14.29,8.33,286,1025,11,11,999,99
1999,1,4,16,89,6.7  8.2,1.98,14.29,8.55,284,1025,11.2,11,999,99
1999,1,4,17,88,5.5  6.8,1.81,14.29,7.51,275,1025.2,11.4,11,999,99
1999,1,4,18,80,5.7  7.0,1.8,14.29,7.32,267,1025.8,11.4,11,999,99
1999,1,4,19,73,5.1  6.5,1.51,14.29,7.04,268,1025.9,11.4,11,999,99
1999,1,4,20,55,4.3  5.0,1.56,14.29,7.52,270,1025.5,11.8,11,999,99
1999,1,4,21,50,3.6  4.5,1.58,14.29,8.58,271,1025,12.1,11.1,999,99
1999,1,4,22,8,3.1  3.5,1.47,14.29,8.85,276,1024.3,12.6,11.3,999,99
1999,1,4,23,336,3.5  4.0,1.38,14.29,9.74,269,1024.3,12.2,11.3,999,99
1999,1,5,0,324,3.2  3.9,1.45,14.29,10.06,269,1024.2,12.1,11.3,999,99
1999,1,5,1,304,3.0  3.7,1.23,14.29,9.82,269,1024.1,11.8,11.3,999,99
1999,1,5,2,289,3.9  5.0,1.36,12.5,9.71,273,1024.3,11.3,11.3,999,99
1999,1,5,3,304,3.4  4.4,1.39,14.29,10.04,269,1024.4,11.7,11,999,99
1999,1,5,4,313,2.6  3.2,1.3,12.5,9.84,277,1025,11.8,11,999,99
1999,1,5,5,303,1.5  1.9,1.21,14.29,9.65,269,1025.1,11.7,11,999,99
1999,1,5,6,336,2.8  3.1,1.19,14.29,9.05,260,1025.6,11.7,11,999,99
1999,1,5,7,346,2.1  2.4,1.32,12.5,9.71,287,1025.8,11.4,11,999,99
1999,1,5,8,34,.9  1.3,99,99,99,999,1025.7,11,11,999,99
1999,1,5,9,70,2.6  3.5,1.36,12.5,10.12,283,1025.2,10.6,10.8,999,99
1999,1,5,10,83,5.7  7.2,1.34,12.5,10.22,273,1024.9,11.8,10.9,999,99
1999,1,5,11,83,6.3  7.4,1.43,12.5,10.51,275,1024.5,11.3,11,999,99
1999,1,5,12,75,6.0  7.4,1.2,12.5,7.97,272,1024.2,11.8,11,999,99
1999,1,5,13,83,6.2  7.3,1.43,12.5,6.8,288,1024.1,11.3,11,999,99
1999,1,5,14,85,6.2  7.4,1.4,12.5,6.64,276,1024.2,11.3,11,999,99
1999,1,5,15,61,6.7  8.4,1.33,12.5,6.44,280,1024.4,11.4,11,999,99
1999,1,5,16,52,7.0  8.3,1.43,12.5,6.88,272,1025,11.7,10.9,999,99
1999,1,5,17,44,4.6  5.3,1.57,12.5,7.53,269,1025.2,11.3,10.9,999,99
1999,1,5,18,60,5.6  6.9,1.47,12.5,7.65,271,1025.2,11,11,999,99
1999,1,5,19,59,4.2  5.0,1.51,12.5,8.45,287,1025.1,10.6,11,999,99
1999,1,5,20,68,3.4  4.1,1.32,12.5,7.87,282,1024.3,11.3,11,999,99
1999,1,5,21,40,2.1  2.8,1.52,12.5,8.89,267,1023.3,11.9,11,999,99
1999,1,5,22,354,2.0  2.4,99,99,99,999,1022.2,12.1,11.3,999,99
1999,1,5,23,294,2.4  2.7,1.49,12.5,10.07,271,1022,12.1,11.3,999,99
1999,1,6,0,284,4.1  5.1,1.46,12.5,9.9,270,1022,11.7,11.3,999,99
