YY,MM,DD,hh,mm,WDIR WSPD GST,WVHT,DPD,APD,MWD   PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT m/s  m/s,m,sec,sec,degT   hPa,degC,degC,degC,mi,ft
2022,1,1,0,0,328 12.9 16.1,99,99,99,999 1012.7,11.4,12.7,999,99,99
2022,1,1,0,10,331 12.6 15.5,99,99,99,999 1012.8,11.4,12.7,999,99,99
2022,1,1,0,20,334 11.6 15.1,99,99,99,999 1013.1,11.4,12.7,999,99,99
2022,1,1,0,30,330 12.2 15.6,99,99,99,999 1012.9,11.4,12.7,999,99,99
2022,1,1,0,40,329 12.0 14.4,2.98,8.33,6.28,315 1013.1,11.4,12.7,999,99,99
2022,1,1,0,50,328 12.5 16.2,99,99,99,999 1013.1,11.4,12.7,999,99,99
2022,1,1,1,0,326 12.0 15.4,99,99,99,999 1013.0,11.3,12.7,999,99,99
2022,1,1,1,10,327 11.6 14.3,99,99,99,999 1013.1,11.3,12.7,999,99,99
2022,1,1,1,20,331 11.6 14.6,99,99,99,999 1013.1,11.3,12.7,999,99,99
2022,1,1,1,30,330 11.5 14.1,99,99,99,999 1013.3,11.3,12.7,999,99,99
2022,1,1,1,40,332 11.6 15.3,3.13,8.33,6.36,321 1013.4,11.3,12.7,999,99,99
2022,1,1,1,50,331 11.9 14.4,99,99,99,999 1013.4,11.3,12.7,999,99,99
2022,1,1,2,0,331 11.7 14.7,99,99,99,999 1013.3,11.3,12.7,999,99,99
2022,1,1,2,10,330 11.8 14.3,99,99,99,999 1013.4,11.3,12.7,999,99,99
2022,1,1,2,20,332 11.9 14.8,99,99,99,999 1013.5,11.3,12.7,999,99,99
2022,1,1,2,30,337 12.0 15.1,99,99,99,999 1013.8,11.4,12.7,999,99,99
2022,1,1,2,40,336 11.9 15.2,3.22,8.33,6.66,321 1014.0,11.4,12.7,999,99,99
2022,1,1,2,50,337 11.6 14.8,99,99,99,999 1014.2,11.4,12.7,999,99,99
2022,1,1,3,0,339 10.9 14.7,99,99,99,999 1014.2,11.4,12.7,999,99,99
2022,1,1,3,10,340 11.5 14.4,99,99,99,999 1014.5,11.3,12.7,999,99,99
2022,1,1,3,20,342 11.7 14.7,99,99,99,999 1014.5,11.3,12.7,999,99,99
2022,1,1,3,30,340 11.6 15.6,99,99,99,999 1014.5,11.3,12.7,999,99,99
2022,1,1,3,40,341 11.2 14.2,3.41,9.09,6.76,321 1014.5,11.3,12.7,999,99,99
2022,1,1,3,50,340 11.2 14.2,99,99,99,999 1014.7,11.3,12.7,999,99,99
2022,1,1,4,0,339 11.7 15.2,99,99,99,999 1014.8,11.2,12.7,999,99,99
2022,1,1,4,10,342 11.7 15.0,99,99,99,999 1014.7,11.2,12.7,999,99,99
2022,1,1,4,20,342 11.3 14.1,99,99,99,999 1014.7,11.2,12.6,999,99,99
2022,1,1,4,30,344 12.0 14.7,99,99,99,999 1014.7,11.2,12.6,999,99,99
2022,1,1,4,40,340 11.6 14.7,3.43,8.33,6.87,323 1014.8,11.2,12.6,999,99,99
2022,1,1,4,50,344 11.6 14.8,99,99,99,999 1014.8,11.3,12.6,999,99,99
2022,1,1,5,0,346 11.8 14.8,99,99,99,999 1014.9,11.3,12.6,999,99,99
2022,1,1,5,10,344 12.0 14.5,99,99,99,999 1015.1,11.3,12.6,999,99,99
2022,1,1,5,20,339 12.4 15.3,99,99,99,999 1015.2,11.3,12.6,999,99,99
2022,1,1,5,30,339 12.5 15.0,99,99,99,999 1015.3,11.3,12.6,999,99,99
2022,1,1,5,40,340 12.6 15.7,3.13,7.69,6.5,326 1015.4,11.3,12.6,999,99,99
2022,1,1,5,50,344 12.1 15.3,99,99,99,999 1015.6,11.4,12.6,999,99,99
2022,1,1,6,0,346 12.3 15.6,99,99,99,999 1015.7,11.4,12.6,999,99,99
2022,1,1,6,10,342 12.6 16.0,99,99,99,999 1015.8,11.3,12.6,999,99,99
2022,1,1,6,20,344 11.9 14.8,99,99,99,999 1015.8,11.3,12.6,999,99,99
2022,1,1,6,30,347 11.9 15.1,99,99,99,999 1016.0,11.2,12.6,999,99,99
2022,1,1,6,40,346 11.5 14.8,3.19,9.09,6.87,323 1016.1,11.3,12.6,999,99,99
2022,1,1,6,50,345 11.4 13.7,99,99,99,999 1016.3,11.2,12.6,999,99,99
