YY,MM,DD,hh,mm,WDIR WSPD GST,WVHT,DPD,APD,MWD   PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT m/s  m/s,m,sec,sec,degT   hPa,degC,degC,degC,mi,ft
2023,1,1,0,0,314 17.2 22.3,99,99,99,999 1001.4,11.9,999,999,99,99
2023,1,1,0,10,327 15.9 21.5,99,99,99,999 1002.1,11.9,999,999,99,99
2023,1,1,0,20,327 15.6 19.8,99,99,99,999 1002.3,12.1,999,999,99,99
2023,1,1,0,30,327 14.1 18.6,99,99,99,999 1002.8,12,999,999,99,99
2023,1,1,0,40,325 14.4 18.8,99,99,99,999 1003.0,11.9,999,999,99,99
2023,1,1,0,50,329 15.0 19.3,99,99,99,999 1003.0,11.7,999,999,99,99
2023,1,1,1,0,335 14.7 18.6,99,99,99,999 1003.0,11.7,999,999,99,99
2023,1,1,1,10,332 13.5 17.9,99,99,99,999 1003.5,11.8,999,999,99,99
2023,1,1,1,20,331 14.8 18.8,99,99,99,999 1003.6,11.8,999,999,99,99
2023,1,1,1,30,332 15.1 19.9,99,99,99,999 1003.7,11.8,999,999,99,99
2023,1,1,1,40,333 14.8 19.1,4.17,14.81,7.12,304 1003.9,12,999,999,99,99
2023,1,1,1,50,334 15.6 19.7,99,99,99,999 1004.1,12,999,999,99,99
2023,1,1,2,0,333 15.0 20.7,99,99,99,999 1004.5,12.1,999,999,99,99
2023,1,1,2,10,331 14.9 19.6,99,99,99,999 1004.7,12.2,999,999,99,99
2023,1,1,2,20,330 13.8 17.8,99,99,99,999 1004.8,12.2,999,999,99,99
2023,1,1,2,30,332 13.0 16.2,99,99,99,999 1004.9,12.4,999,999,99,99
2023,1,1,2,40,334 13.1 16.3,99,99,99,999 1005.1,12.5,999,999,99,99
2023,1,1,2,50,332 12.0 15.9,99,99,99,999 1005.4,12.7,999,999,99,99
2023,1,1,3,0,335 11.8 15.5,99,99,99,999 1005.4,12.8,999,999,99,99
