YY,MM,DD,hh,WD,WSPD GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS
1998,6,19,0,285,4.2  5.8,2.52,9.09,7.44,310,1016.4,13.4,14.9,999,99
1998,6,19,1,305,5.3  7.3,2.41,9.09,7.37,317,1015.8,12.9,14.9,999,99
1998,6,19,2,304,5.8  7.8,2.3,9.09,6.95,315,1015.8,12.9,14.8,999,99
1998,6,19,3,311,6.8  8.8,2.13,9.09,6.61,307,1015.6,12.8,14.5,999,99
1998,6,19,4,322,7.1  8.7,2.35,9.09,6.8,313,1015.6,12.7,14.4,999,99
1998,6,19,5,308,6.3  8.1,2.28,8.33,6.51,311,1015.7,12.8,14.2,999,99
1998,6,19,6,313,6.4  8.7,2.38,8.33,6.52,310,1015.8,12.9,14.1,999,99
1998,6,19,7,327,5.9  7.2,2.28,8.33,6.32,309,1015.9,12.9,14.1,999,99
1998,6,19,8,299,5.8  7.6,2.37,8.33,6.44,308,1015.8,12.9,14.1,999,99
1998,6,19,9,306,5.1  7.6,2.35,8.33,6.65,315,1015.6,13,14.1,999,99
1998,6,19,10,304,5.1  6.7,2.06,8.33,6.56,309,1015,13,14.1,999,99
1998,6,19,11,298,4.0  5.7,2.22,8.33,6.75,309,1015,13.1,14.2,999,99
1998,6,19,12,308,3.2  4.9,2.15,8.33,6.84,309,1015,12.9,14.2,999,99
1998,6,19,13,318,4.4  5.9,2.29,9.09,6.84,309,1015,12.9,14.2,999,99
1998,6,19,14,304,3.7  4.7,2.39,8.33,7.44,312,1015,12.9,14.4,999,99
1998,6,19,15,293,3.2  4.7,2.73,9.09,7.58,314,1015.6,12.9,14.4,999,99
1998,6,19,16,325,2.9  4.4,2.77,9.09,7.66,310,1015.8,13,14.4,999,99
1998,6,19,17,312,2.0  3.2,2.56,9.09,7.44,313,1015.9,13.4,14.4,999,99
1998,6,19,18,299,2.6  3.8,3.01,9.09,7.8,308,1016.2,13.7,14.5,999,99
1998,6,19,19,270,3.3  4.4,2.79,9.09,7.52,310,1016.4,13.6,14.5,999,99
1998,6,19,20,285,2.8  3.9,2.65,9.09,7.42,314,1016.3,13.7,14.8,999,99
1998,6,19,21,274,3.7  5.7,3.07,9.09,7.71,312,1016.1,14,14.9,999,99
1998,6,19,22,280,3.5  5.8,2.77,9.09,7.48,307,1015.8,13.7,14.9,999,99
1998,6,19,23,264,4.1  6.0,2.66,10,7.65,306,1015.7,14,14.9,999,99
1998,6,20,0,264,4.3  5.7,2.82,10,7.77,303,1015,14,14.9,999,99
1998,6,20,1,274,4.9  5.9,2.86,9.09,7.84,312,1014.8,13.8,14.9,999,99
1998,6,20,2,294,4.4  6.5,2.88,11.11,7.92,294,1014.8,13.6,14.9,999,99
1998,6,20,3,276,4.6  6.9,2.64,10,7.65,307,1014.7,13.4,14.9,999,99
1998,6,20,4,304,4.5  6.8,2.73,10,7.8,302,1014.3,13.4,14.9,999,99
1998,6,20,5,306,4.3  6.4,2.71,9.09,7.65,307,1014.4,13.4,14.9,999,99
