YY,MM,DD,hh,mm,WDIR WSPD GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT m/s  m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2008,1,1,0,0,81  8.1 10.1,3.86,16,9.4,321,1021,12.8,11.4,999,99,99
2008,1,1,1,0,73  7.4  9.5,3.66,14.81,8.99,314,1021,12.8,11.4,999,99,99
2008,1,1,2,0,57  5.7  6.5,3.27,16,8.86,319,1021.3,12.1,11.4,999,99,99
2008,1,1,3,0,69  7.4  9.5,3.45,16,8.9,315,1021.6,12.6,11.3,999,99,99
2008,1,1,4,0,76  7.8  9.3,3.16,14.81,8.31,314,1021.8,12.8,11.3,999,99,99
2008,1,1,5,0,64  7.0  9.1,3.23,14.81,8.31,332,1022,12.1,11.4,999,99,99
2008,1,1,6,0,64  6.8  8.2,3.08,14.81,8.8,323,1021.9,11.2,11.4,999,99,99
2008,1,1,7,0,74  8.0  9.5,2.97,13.79,8.46,325,1021.8,11.1,11.4,999,99,99
2008,1,1,8,0,91  8.8 10.9,2.92,14.81,8.06,318,1021.6,12,11.4,999,99,99
2008,1,1,9,0,97 10.1 12.2,2.83,14.81,7.44,331,1021.2,11.4,11.4,999,99,99
2008,1,1,10,0,94  9.2 11.2,2.71,13.79,7.37,324,1021.4,10.8,11.4,999,99,99
2008,1,1,11,0,91  8.4 10.0,2.59,12.9,7.69,324,1021.5,11,11.4,999,99,99
2008,1,1,12,0,91  7.7  9.9,2.51,13.79,7.81,316,1021.3,11.1,11.4,999,99,99
2008,1,1,13,0,93  9.3 11.5,2.56,13.79,7.63,317,1021,11,11.3,999,99,99
2008,1,1,14,0,86  8.4 11.2,2.27,12.9,7.04,314,1021.7,10.8,11.3,999,99,99
2008,1,1,15,0,89  8.1  9.8,2.36,13.79,7.59,308,1022.2,11.1,11.3,999,99,99
2008,1,1,16,0,92  9.2 11.8,2.18,13.79,7.08,322,1022.1,11.3,11.3,999,99,99
2008,1,1,17,0,96  8.6 10.7,2.01,13.79,6.72,317,1022.4,11.7,11.3,999,99,99
2008,1,1,18,0,93  7.0  8.7,1.87,13.79,6.79,306,1023,11.8,11.3,999,99,99
2008,1,1,19,0,93  7.8  9.6,1.62,13.79,6.17,324,1022.5,11.8,11.3,999,99,99
2008,1,1,20,0,87  7.2  8.5,1.63,12.12,6.06,293,1021.7,12.3,11.4,999,99,99
2008,1,1,21,0,84  5.5  6.4,1.37,12.9,5.85,314,1021,12.7,11.4,999,99,99
2008,1,1,22,0,87  5.5  6.4,1.37,12.9,6.73,308,1020.2,13.3,11.4,999,99,99
2008,1,1,23,0,86  3.0  3.6,1.2,9.09,6.9,313,1019.8,14.1,11.5,999,99,99
2008,1,2,0,0,63  2.0  2.2,1.03,12.9,7.36,303,1019.6,14.2,11.5,999,99,99
2008,1,2,1,0,68  1.5  1.8,0.96,12.9,7,297,1019.2,13.9,11.5,999,99,99
2008,1,2,2,0,53  0.1  0.9,0.82,12.9,7.35,289,1019.1,13.8,11.5,999,99,99
2008,1,2,3,0,17  2.3  2.8,0.77,12.12,7.66,289,1019,12.2,11.4,999,99,99
2008,1,2,4,0,345  2.4  3.0,0.76,12.12,7.88,285,1019.2,12.6,11.4,999,99,99
2008,1,2,5,0,60  1.8  2.0,0.72,11.43,8.03,301,1019.1,12.1,11.4,999,99,99
2008,1,2,6,0,74  2.2  2.8,0.67,12.12,8.22,289,1019.6,12.6,11.4,999,99,99
2008,1,2,7,0,102  4.2  4.8,0.69,13.79,8.41,217,1019.4,12.5,11.4,999,99,99
2008,1,2,8,0,105  4.9  5.7,0.69,12.12,7.87,268,1019.4,11.9,11.4,999,99,99
2008,1,2,9,0,103  4.4  5.0,0.71,19.05,6.86,307,1019.1,11.4,11.4,999,99,99
2008,1,2,10,0,101  5.7  6.7,0.63,19.05,6.1,308,1019,11.4,11.4,999,99,99
2008,1,2,11,0,98  7.0  8.4,0.84,19.05,6.55,303,1018.5,10.9,11.4,999,99,99
2008,1,2,12,0,107  6.7  7.9,0.79,19.05,4.99,323,1018.3,10.9,11.4,999,99,99
2008,1,2,13,0,110  6.7  8.0,0.86,17.39,5.07,299,1018.3,10.7,11.4,999,99,99
2008,1,2,14,0,105  5.4  6.2,0.83,17.39,5.2,289,1018.2,10.7,11.4,999,99,99
2008,1,2,15,0,114  5.0  6.1,0.89,17.39,6.04,309,1018.2,10.8,11.3,999,99,99
2008,1,2,16,0,126  4.3  5.3,1.02,17.39,6.5,306,1018.2,11,11.3,999,99,99
2008,1,2,17,0,153  4.1  4.7,0.93,17.39,6.49,298,1018.4,11.2,11.2,999,99,99
2008,1,2,18,0,178  3.3  4.3,1.05,16,7.64,302,1019.2,11.4,11.2,999,99,99
2008,1,2,19,0,199  2.7  3.8,1.18,17.39,8.37,287,1019.5,11.5,11.2,999,99,99
2008,1,2,20,0,202  3.6  4.6,1.13,16,6.86,309,1018.7,11.4,11.3,999,99,99
2008,1,2,21,0,196  3.1  3.8,1.17,16,6.55,290,1018,11.4,11.3,999,99,99
2008,1,2,22,0,193  3.8  4.9,1.43,16,7.5,289,1017.3,11.5,11.3,999,99,99
2008,1,2,23,0,174  4.0  5.0,1.16,16,6.21,293,1016.9,11.6,11.3,999,99,99
2008,1,3,0,0,181  4.8  5.6,1.41,14.81,7.14,297,1016.7,11.6,11.3,999,99,99
2008,1,3,1,0,176  5.1  6.2,1.45,14.81,6.85,297,1016.6,11.4,11.2,999,99,99
2008,1,3,2,0,178  4.8  5.7,1.46,14.81,7.28,305,1016.4,11.5,11.2,999,99,99
2008,1,3,3,0,186  5.7  6.7,1.77,14.81,7.78,290,1016.4,11.6,11.2,999,99,99
2008,1,3,4,0,159  4.4  5.3,1.54,14.81,7.17,290,1016.3,11.6,11.1,999,99,99
2008,1,3,5,0,164  5.2  6.5,1.66,13.79,8.12,302,1016.2,11.7,11.1,999,99,99
2008,1,3,6,0,176  7.4  9.0,99,99,99,999,1016.3,12.2,11,999,99,99
2008,1,3,7,0,179  8.2  9.9,1.66,14.81,7.01,278,1016.3,12,11,999,99,99
2008,1,3,8,0,170  6.9  8.5,2,14.81,7.35,300,1016.6,11.9,11,999,99,99
2008,1,3,9,0,169  7.4  8.9,2.07,14.81,7.45,290,1016.2,12,11,999,99,99
2008,1,3,10,0,167  8.2  9.7,2.35,14.81,8.09,286,1015.9,12.1,11,999,99,99
2008,1,3,11,0,166  8.1  9.8,2.46,14.81,7.45,288,1015.4,12,11,999,99,99
2008,1,3,12,0,172  8.0  9.3,2.66,13.79,7.87,279,1015.1,12.1,11,999,99,99
2008,1,3,13,0,162  8.3 10.0,3.03,14.81,7.92,278,1014.4,12.1,11,999,99,99
2008,1,3,14,0,173  8.0  9.8,2.5,12.9,7.38,288,1014.8,12.3,11.2,999,99,99
2008,1,3,15,0,176  8.4 10.0,2.77,14.81,7.99,275,1015.2,12.2,11.3,999,99,99
2008,1,3,16,0,167  9.0 11.1,2.75,14.81,7.92,279,1014.9,12.2,11.3,999,99,99
2008,1,3,17,0,166  9.8 12.6,2.64,14.81,7.55,274,1015.1,12.2,11.4,999,99,99
2008,1,3,18,0,164 10.2 12.1,3.02,14.81,7.69,284,1015.2,12.3,11.4,999,99,99
2008,1,3,19,0,162 10.9 12.9,2.89,13.79,7.34,275,1015.2,12.4,11.4,999,99,99
2008,1,3,20,0,162 11.6 14.2,99,99,99,999,1014.5,12.3,11.4,999,99,99
2008,1,3,21,0,164 99.0 14.3,3.53,13.79,7.9,283,1013.8,12.3,11.4,999,99,99
2008,1,3,22,0,165 12.3 15.7,3.69,14.81,7.9,284,1012.9,12,11.4,999,99,99
2008,1,4,0,0,164 12.4 15.1,3.61,13.79,7.58,280,1012.2,11.6,11.4,999,99,99
2008,1,4,1,0,166 12.6 15.1,3.62,16,7.43,289,1011.8,11.5,11.5,999,99,99
2008,1,4,2,0,159 13.0 15.8,3.5,14.81,7.29,282,1011.5,11.5,11.5,999,99,99
2008,1,4,3,0,158 15.2 19.2,3.29,16,6.7,282,1010.8,11.8,11.5,999,99,99
2008,1,4,4,0,158 11.9 14.4,3.27,13.79,6.79,269,1011.9,11.7,11.5,999,99,99
2008,1,4,5,0,158 12.7 15.6,3.39,14.81,6.85,284,1011.8,11.7,11.5,999,99,99
2008,1,4,6,0,156 12.6 15.6,3.52,14.81,6.77,291,1011.4,11.7,11.6,999,99,99
2008,1,4,7,0,158 13.2 16.3,99,99,99,999,1011.1,11.8,11.8,999,99,99
2008,1,4,8,0,157 13.9 16.5,3.64,14.81,6.73,289,1010.2,11.9,11.8,999,99,99
2008,1,4,9,0,160 13.9 16.6,3.67,13.79,6.62,288,1008.9,12.2,11.9,999,99,99
2008,1,4,10,0,157 14.7 18.2,3.66,13.79,6.69,281,1007.5,12.1,11.9,999,99,99
2008,1,4,11,0,159 16.1 20.2,4,13.79,6.76,279,1006.4,12.2,11.9,999,99,99
2008,1,4,12,0,157 16.6 20.7,99,99,99,999,1004.9,12.2,11.9,999,99,99
2008,1,4,13,0,167 16.4 20.2,4.06,13.79,6.62,270,1004.6,12.1,11.9,999,99,99
2008,1,4,14,0,164 17.1 21.5,4.34,7.69,6.75,172,1003.4,12.4,11.9,999,99,99
2008,1,4,15,0,164 17.1 21.1,4.87,7.69,6.99,166,1002.4,12.4,11.8,999,99,99
2008,1,4,16,0,169 17.2 99.0,4.27,7.69,6.66,169,9999,999,999,999,99,99
2008,1,4,17,0,176 16.7 20.3,99,99,99,999,1001.3,13.2,11.8,999,99,99
2008,1,4,18,0,176 16.7 20.4,99,99,99,999,1001.1,13.2,11.8,999,99,99
2008,1,4,19,0,181 17.0 20.5,4.96,8.33,7.06,182,1001,13.1,11.8,999,99,99
2008,1,4,20,0,193 15.4 19.0,5.18,9.09,7.3,179,1000.8,13.2,11.8,999,99,99
2008,1,4,21,0,195 15.7 19.8,99,99,99,999,999.7,13.6,11.7,999,99,99
2008,1,4,22,0,219 13.7 16.8,5.34,9.09,7.5,198,1000.3,13.2,11.7,999,99,99
2008,1,4,23,0,262  7.8 10.3,5.36,9.09,7.6,184,1002,12,11.6,999,99,99
2008,1,5,0,0,213  5.4  6.6,4.77,9.09,7.71,201,1002.6,12.1,11.6,999,99,99
2008,1,5,1,0,216  7.6  9.6,99,99,99,999,1003,12.4,11.6,999,99,99
2008,1,5,2,0,226  7.9  9.7,4.72,10,8.05,223,1003.3,12.6,11.6,999,99,99
2008,1,5,3,0,241  7.7  9.6,4.8,10,8.25,223,1004.2,12.5,11.6,999,99,99
2008,1,5,4,0,231  5.6  7.0,4.38,10.81,8,254,1005.4,12.3,11.6,999,99,99
2008,1,5,5,0,254  7.4  9.0,4.41,12.12,8.38,276,1006.5,12.6,11.6,999,99,99
2008,1,5,6,0,252  5.0  7.0,4.22,10.81,8.28,240,1007.5,12.4,11.7,999,99,99
2008,1,5,7,0,232  4.0  5.3,4.43,12.9,8.53,275,1008.3,12.3,11.7,999,99,99
2008,1,5,8,0,216  6.0  7.6,5.13,12.12,9.35,265,1009.1,12.3,11.8,999,99,99
2008,1,5,9,0,213  5.9  7.6,5.66,13.79,9.95,282,1009,11.8,11.8,999,99,99
2008,1,5,10,0,211  4.5  6.0,6.74,16,10.91,281,1009.8,11.7,11.8,999,99,99
2008,1,5,11,0,218  4.4  6.1,7.61,16,11.68,278,1009.7,11.7,11.8,999,99,99
2008,1,5,12,0,210  3.8  5.6,9.1,17.39,12.3,279,1009.8,11.6,11.8,999,99,99
2008,1,5,13,0,195  4.0  6.3,8.89,17.39,12.05,283,1009.6,11.7,11.8,999,99,99
2008,1,5,14,0,179  5.0  8.9,9.11,19.05,12.45,279,1009.7,11.7,11.7,999,99,99
2008,1,5,15,0,173  6.3 10.1,9.92,17.39,12.82,281,1009.6,11.8,11.7,999,99,99
2008,1,5,16,0,175  7.1  9.9,9.15,19.05,12.69,281,1009.7,11.9,11.6,999,99,99
2008,1,5,17,0,182  8.9 11.5,8.66,16,12.08,276,1009.9,11.8,11.6,999,99,99
2008,1,5,18,0,170  7.8 11.0,7.39,17.39,11.66,277,1009.7,11.7,11.7,999,99,99
2008,1,5,19,0,184  8.4 11.0,99,99,99,999,1009.9,12.1,11.7,999,99,99
2008,1,5,20,0,185  9.4 11.8,7.77,14.81,11.84,280,1009.3,12.1,11.8,999,99,99
2008,1,5,21,0,189  9.3 12.2,7.3,16,11.69,285,1008.1,12.1,11.8,999,99,99
2008,1,5,22,0,184  9.2 11.6,6.97,19.05,11.61,286,1006.9,12,11.8,999,99,99
2008,1,5,23,0,206 11.1 13.5,6.89,17.39,11.31,287,1006.5,12.2,11.8,999,99,99
2008,1,6,0,0,249  2.6  4.7,6.57,17.39,11.34,292,1007,10.1,11.7,999,99,99
2008,1,6,1,0,226  5.5  7.3,6.25,17.39,11.04,294,1006.5,11,11.7,999,99,99
2008,1,6,2,0,224  3.8  5.1,5.89,16,10.85,284,1006.4,11.2,11.7,999,99,99
2008,1,6,3,0,223  4.5  6.1,5.63,17.39,10.93,287,1006.9,11.6,11.7,999,99,99
2008,1,6,4,0,229  6.1  8.5,6.45,17.39,11.79,290,1006.9,11.8,11.7,999,99,99
2008,1,6,5,0,295  3.5  6.3,5.92,16,11.11,285,1006.6,10.3,11.6,999,99,99
2008,1,6,6,0,265  8.8 11.9,5.84,16,11.05,297,1007.9,11.3,11.5,999,99,99
2008,1,6,7,0,282  8.1 10.8,5.63,16,10.77,288,1009,11.1,11.5,999,99,99
2008,1,6,8,0,292  7.6 10.1,6.1,16,10.78,289,1009.6,10.8,11.5,999,99,99
2008,1,6,9,0,288  7.3 10.7,6.19,16,10.82,286,1010.5,10.9,11.5,999,99,99
2008,1,6,10,0,285  5.8  7.7,5.6,14.81,10.44,286,1010.6,10.9,11.5,999,99,99
2008,1,6,11,0,274  5.9  7.9,5.91,12.9,10.73,297,1011.1,11.1,11.5,999,99,99
2008,1,6,12,0,277  5.6  7.4,5.41,14.81,10.31,298,1011.5,10.9,11.5,999,99,99
2008,1,6,13,0,305  5.4  7.7,5.19,14.81,9.96,291,1011.5,10.9,11.5,999,99,99
2008,1,6,14,0,276  4.5  6.4,5.27,14.81,10.3,291,1012,10.8,11.5,999,99,99
2008,1,6,15,0,274  4.9  6.3,4.91,14.81,9.69,290,1012.8,10.8,11.5,999,99,99
2008,1,6,16,0,250  2.3  4.2,5.49,14.81,10.43,289,1013.1,10.7,11.5,999,99,99
2008,1,6,17,0,229  3.0  4.4,5.09,13.79,10.27,293,1013.5,10.9,11.5,999,99,99
2008,1,6,18,0,177  2.0  3.7,4.78,14.81,10.11,289,1013.7,11.2,11.6,999,99,99
2008,1,6,19,0,167  3.7  5.2,4.37,12.9,9.87,290,1013.8,11,11.6,999,99,99
2008,1,6,20,0,171  4.7  6.2,3.83,14.81,9.62,287,1013.1,11.1,11.6,999,99,99
2008,1,6,21,0,161  7.0  8.8,4.12,13.79,9.91,290,1011.2,11.1,11.6,999,99,99
2008,1,6,22,0,164  7.7  9.2,3.96,14.81,9.52,285,1011.2,11,11.6,999,99,99
2008,1,6,23,0,156  8.0 10.3,3.49,14.81,8.79,294,1010.6,11.1,11.6,999,99,99
2008,1,7,0,0,167  8.2 10.0,3.67,13.79,8.77,283,1010,10.6,11.5,999,99,99
2008,1,7,1,0,158  7.9 10.0,3.49,14.81,8.78,283,1010,10.1,11.5,999,99,99
2008,1,7,2,0,164  7.6  9.8,3.75,13.79,8.77,280,1009.8,9.7,11.5,999,99,99
2008,1,7,3,0,163  6.9  8.8,3.5,12.9,8.58,280,1009.9,9.6,11.6,999,99,99
2008,1,7,4,0,137  5.5  7.7,3.64,13.79,8.7,275,1010.6,9.7,11.6,999,99,99
2008,1,7,5,0,149  5.4  7.5,3.78,12.12,9.1,288,1010.7,9.5,11.6,999,99,99
2008,1,7,6,0,151  4.3  5.9,3.7,12.9,8.94,286,1011.4,9.6,11.7,999,99,99
2008,1,7,7,0,87  2.7  4.9,3.85,13.79,9.74,287,1012.4,9.3,11.7,999,99,99
2008,1,7,8,0,33  4.6  5.9,3.86,12.9,9.81,288,1013,8.8,11.7,999,99,99
2008,1,7,9,0,20  3.1  4.6,3.65,12.9,9.63,295,1013.2,9.2,11.7,999,99,99
2008,1,7,10,0,352  3.7  5.6,3.74,12.12,9.72,298,1013.6,9.2,11.7,999,99,99
2008,1,7,11,0,351  3.6  4.4,3.74,12.9,9.84,298,1014.3,8.8,11.7,999,99,99
2008,1,7,12,0,330  4.6  6.7,3.58,12.9,9.96,292,1014.5,9.3,11.7,999,99,99
2008,1,7,13,0,1  3.9  4.7,3.69,13.79,9.94,292,1014.8,9.6,11.7,999,99,99
2008,1,7,14,0,355  5.4  6.5,3.41,13.79,9.95,287,1015.7,9.5,11.7,999,99,99
2008,1,7,15,0,330  6.8  8.4,2.94,13.79,9.17,284,1016.2,10.3,11.7,999,99,99
2008,1,7,16,0,334  6.6  8.2,2.76,13.79,8.89,287,1016.9,10.4,11.7,999,99,99
