YY,MM,DD,hh,mm,WDIR WSPD GST,WVHT,DPD,APD,MWD   PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT m/s  m/s,m,sec,sec,degT   hPa,degC,degC,degC,mi,ft
2012,12,31,23,50,317  4.4  5.4,2.28,19.05,10.49,302 1023.7,11.2,13,999,99,99
2013,1,1,0,50,316  4.9  5.9,2.23,19.05,10.03,296 1023.9,11,12.9,999,99,99
2013,1,1,1,50,331  4.6  5.8,2.34,19.05,9.86,300 1024.0,11,12.8,999,99,99
2013,1,1,2,50,342  5.2  6.6,2.26,19.05,9.93,294 1024.2,11.1,12.8,999,99,99
2013,1,1,3,50,346  4.4  5.6,1.92,17.39,9.03,296 1024.4,11.1,12.7,999,99,99
2013,1,1,4,50,302  1.1  2.2,2.37,17.39,10.42,295 1024.0,11,12.6,999,99,99
2013,1,1,5,50,351  3.5  4.9,1.93,17.39,9.51,294 1024.3,11.1,12.5,999,99,99
2013,1,1,6,50,341  2.6  3.7,2.67,17.39,12.27,292 1024.4,11.2,12.5,999,99,99
2013,1,1,7,50,360  2.0  2.8,2.46,17.39,11.74,293 1024.1,11.1,12.5,999,99,99
2013,1,1,8,50,5  1.4  2.2,2.5,17.39,11.68,290 1023.5,11,12.4,999,99,99
2013,1,1,9,50,87  0.8  1.9,2.72,17.39,13,291 1023.3,10.9,12.4,999,99,99
2013,1,1,10,50,13  2.0  2.8,2.59,17.39,12.3,290 1023.5,11,12.4,999,99,99
2013,1,1,11,50,19  1.5  2.2,2.85,17.39,13.22,288 1023.1,10.9,12.3,999,99,99
2013,1,1,12,50,82  3.4  4.9,2.46,16,11.87,295 1022.7,10.3,12.4,999,99,99
2013,1,1,13,50,91  3.5  4.9,2.83,16,13.23,306 1022.7,10.2,12.4,999,99,99
2013,1,1,14,50,83  5.0  6.6,2.98,16,12.8,297 1023.0,9.7,12.4,999,99,99
2013,1,1,15,50,97  3.6  5.4,2.91,16,12.11,297 1023.0,9.9,12.4,999,99,99
2013,1,1,16,50,96  5.5  7.2,2.86,17.39,12.29,300 1023.3,10.1,12.4,999,99,99
2013,1,1,17,50,94  3.8  5.0,2.8,16,11.67,297 1023.4,10.4,12.5,999,99,99
2013,1,1,18,50,87  5.4  6.7,2.68,17.39,11.55,302 1023.3,9.9,12.6,999,99,99
2013,1,1,19,50,90  5.6  7.2,2.72,16,11.48,301 1022.6,10,12.7,999,99,99
2013,1,1,20,50,81  5.2  6.9,2.48,16,10.99,299 1022.1,10.7,12.8,999,99,99
2013,1,1,21,50,46  2.6  3.8,2.88,16,11.57,300 1021.8,11.3,12.8,999,99,99
2013,1,1,22,50,354  5.2  6.7,2.7,14.81,11.2,291 1021.5,11.1,12.8,999,99,99
2013,1,1,23,50,337  6.5  8.0,2.49,14.81,11.07,295 1021.6,10.8,12.9,999,99,99
2013,1,2,0,50,350  5.4  6.6,2.76,16,11.6,311 1021.6,11.4,12.9,999,99,99
2013,1,2,1,50,3  6.6  7.6,2.45,16,11.54,303 1021.9,11.5,12.8,999,99,99
2013,1,2,2,50,25  5.2  6.1,2.74,16,10.69,297 1022.3,11.8,12.7,999,99,99
2013,1,2,3,50,91  6.1  7.6,2.7,16,10.94,297 1023.0,11.5,12.6,999,99,99
2013,1,2,4,50,91  6.8  8.3,2.57,14.81,10.46,305 1023.0,11.1,12.5,999,99,99
2013,1,2,5,50,82  7.2  8.7,2.92,14.81,10.75,300 1022.7,11,12.5,999,99,99
2013,1,2,6,50,88  8.8 10.4,2.59,14.81,9.67,292 1022.2,10.7,12.5,999,99,99
2013,1,2,7,50,86  9.3 11.8,2.48,13.79,7.92,293 1022.2,10.6,12.5,999,99,99
2013,1,2,8,50,77  8.9 10.3,2.43,14.81,8.55,305 1021.8,10.3,12.5,999,99,99
2013,1,2,9,50,87  9.3 11.2,2.53,14.81,8.28,310 1021.5,10.6,12.5,999,99,99
2013,1,2,10,50,92  8.4 10.4,2.19,14.81,7.85,296 1021.3,10.4,12.5,999,99,99
2013,1,2,11,50,88  8.4 10.0,2.53,14.81,8.59,296 1021.2,10.3,12.5,999,99,99
2013,1,2,12,50,82  6.3  7.5,2.18,13.79,7.88,292 1020.9,10.6,12.5,999,99,99
2013,1,2,13,50,78  6.5  8.1,2.17,13.79,8.56,299 1020.9,10.4,12.4,999,99,99
2013,1,2,14,50,76  7.3  8.7,2.13,13.79,8.65,296 1021.1,10.2,12.4,999,99,99
2013,1,2,15,50,88  8.0  9.6,2.03,16,8.07,276 1021.2,10.2,12.4,999,99,99
2013,1,2,16,50,89  8.2 10.9,2,16,7.96,280 1021.8,10.6,12.4,999,99,99
2013,1,2,17,50,88  8.5 10.8,1.86,13.79,7.26,280 1022.1,10.9,12.4,999,99,99
2013,1,2,18,50,81  7.8  9.7,1.93,16,8.11,282 1022.2,10.9,12.5,999,99,99
2013,1,2,19,50,93  7.4  8.8,2.01,14.81,8.17,284 1021.4,11.7,12.5,999,99,99
2013,1,2,20,50,101  5.6  6.7,1.91,16,8,275 1020.7,12,12.6,999,99,99
2013,1,2,21,50,107  5.0  6.2,2.11,17.39,9.88,284 1020.0,12.3,12.7,999,99,99
2013,1,2,22,50,110  4.2  5.8,1.87,16,9.6,281 1019.8,12.6,12.7,999,99,99
2013,1,2,23,50,117  2.5  3.4,1.87,16,10.49,281 1019.5,13,12.8,999,99,99
2013,1,3,0,50,32  1.9  2.8,2.2,16,12.19,287 1019.2,12.6,12.8,999,99,99
2013,1,3,1,50,326  3.7  4.2,1.77,14.81,11.95,279 1020.0,12.1,12.8,999,99,99
2013,1,3,2,50,13  2.6  3.0,2.03,16,12.84,294 1020.0,12.3,12.7,999,99,99
2013,1,3,3,50,304  3.8  5.3,2.07,14.81,12.87,286 1020.3,12.2,12.7,999,99,99
2013,1,3,4,50,315  3.3  4.1,2.01,16,12.78,290 1020.3,12.4,12.6,999,99,99
2013,1,3,5,50,338  3.1  3.8,1.83,14.81,12.45,293 1020.4,12.2,12.6,999,99,99
2013,1,3,6,50,357  3.3  3.9,2.01,14.81,12.94,289 1020.3,12.1,12.5,999,99,99
2013,1,3,7,50,328  3.3  3.9,1.99,14.81,12.79,286 1020.6,11.9,12.5,999,99,99
2013,1,3,8,50,339  2.5  3.1,1.73,14.81,12.26,281 1020.7,11.9,12.5,999,99,99
2013,1,3,9,50,19  2.7  3.1,1.74,14.81,12.35,286 1020.5,11.8,12.5,999,99,99
2013,1,3,10,50,74  2.2  3.0,1.53,14.81,11.9,285 1020.5,11.4,12.5,999,99,99
2013,1,3,11,50,87  3.1  3.9,1.63,14.81,12.09,294 1020.3,11.1,12.5,999,99,99
2013,1,3,12,50,99  3.6  4.6,1.62,14.81,10.76,286 1020.4,10.8,12.4,999,99,99
2013,1,3,13,50,93  5.0  6.1,1.68,14.81,10.77,285 1020.4,10.6,12.4,999,99,99
2013,1,3,14,50,83  5.0  6.4,1.76,14.81,9.82,292 1021.1,10.3,12.4,999,99,99
2013,1,3,15,50,87  6.0  7.2,1.84,14.81,9.19,292 1021.3,10.3,12.4,999,99,99
2013,1,3,16,50,93  5.9  7.1,2.21,14.81,9.97,285 1022.1,10.5,12.4,999,99,99
2013,1,3,17,50,83  4.8  6.0,2.23,13.79,9.83,288 1022.7,10.9,12.4,999,99,99
2013,1,3,18,50,81  4.2  5.4,2.44,14.81,10.52,290 1022.6,10.7,12.5,999,99,99
2013,1,3,19,50,80  2.4  3.4,2.22,13.79,10.16,292 1022.4,10.9,12.6,999,99,99
2013,1,3,20,50,61  2.4  3.4,2.36,13.79,10.3,294 1022.1,10.9,12.7,999,99,99
2013,1,3,21,50,24  1.4  2.3,2.54,12.12,10.74,285 1021.8,11.4,12.8,999,99,99
2013,1,3,22,50,312  2.7  3.7,2.32,12.12,10.77,281 1021.8,11.6,12.9,999,99,99
2013,1,3,23,50,295  3.3  4.3,2.98,13.79,11.37,298 1021.8,12.2,12.9,999,99,99
2013,1,4,0,50,301  5.6  7.2,3.01,14.81,10.95,286 1022.2,12.6,12.9,999,99,99
2013,1,4,1,50,319  6.1  7.5,2.95,13.79,10.66,293 1022.6,12.4,12.8,999,99,99
2013,1,4,2,50,318  6.8  8.1,3.03,14.81,10.3,285 1022.7,12.5,12.7,999,99,99
2013,1,4,3,50,327  6.4  7.4,3.02,13.79,10.17,291 1023.0,12.4,12.7,999,99,99
2013,1,4,4,50,340  6.6  8.4,2.99,14.81,9.64,285 1023.2,12.5,12.6,999,99,99
2013,1,4,5,50,339  6.2  7.6,3.32,14.81,9.55,291 1023.4,12.3,12.6,999,99,99
2013,1,4,6,50,338  6.3  7.2,3.25,13.79,10,289 1023.6,12.2,12.5,999,99,99
2013,1,4,7,50,338  5.6  6.6,2.83,13.79,9.31,296 1023.3,12.1,12.5,999,99,99
2013,1,4,8,50,344  5.2  6.3,3,12.9,9.77,290 1023.1,12,12.5,999,99,99
2013,1,4,9,50,351  5.3  6.1,3.12,12.9,10.14,289 1022.9,11.9,12.5,999,99,99
2013,1,4,10,50,357  3.6  4.4,2.77,12.9,9.9,289 1022.7,11.6,12.5,999,99,99
2013,1,4,11,50,87  2.6  5.0,3.33,13.79,10.59,292 1022.9,11.5,12.4,999,99,99
2013,1,4,12,50,104  3.4  5.3,3.48,12.9,10.71,287 1022.6,10.6,12.4,999,99,99
2013,1,4,13,50,103  3.7  5.3,2.54,12.12,9.44,291 1022.9,10.8,12.4,999,99,99
2013,1,4,14,50,101  3.5  5.5,2.8,12.9,9.24,295 1023.1,10.6,12.4,999,99,99
2013,1,4,15,50,101  4.1  5.8,2.66,13.79,9.13,284 1023.4,10.7,12.3,999,99,99
2013,1,4,16,50,94  4.7  6.2,2.92,12.9,9.29,288 1023.8,10.7,12.4,999,99,99
2013,1,4,17,50,82  3.7  5.2,2.84,12.9,8.73,287 1024.6,11.3,12.4,999,99,99
2013,1,4,18,50,85  4.4  5.9,2.97,11.43,9.09,296 1024.0,10.8,12.5,999,99,99
2013,1,4,19,50,70  4.3  5.8,2.98,12.9,9.01,297 1023.0,11.3,12.6,999,99,99
2013,1,4,20,50,46  3.3  4.3,2.72,11.43,8.8,308 1022.3,11.7,12.6,999,99,99
2013,1,4,21,50,20  2.9  3.9,2.56,13.79,8.62,284 1021.9,11.6,12.7,999,99,99
2013,1,4,22,50,17  2.3  3.0,2.72,11.43,9.29,306 1021.8,11.7,12.8,999,99,99
2013,1,4,23,50,20  3.1  3.8,2.48,11.43,8.95,294 1021.7,11.8,12.8,999,99,99
2013,1,5,0,50,34  3.2  3.9,2.49,12.9,9.14,296 1021.4,11.9,12.8,999,99,99
2013,1,5,1,50,20  2.2  3.0,2.51,13.79,9.18,293 1021.7,12.1,12.8,999,99,99
2013,1,5,2,50,331  2.0  3.3,2.36,12.12,8.8,298 1022.0,12,12.7,999,99,99
2013,1,5,3,50,238  2.9  3.7,2.34,11.43,8.69,291 1022.4,11.7,12.6,999,99,99
2013,1,5,4,50,209  2.9  3.6,2.28,12.12,8.73,284 1022.8,11.8,12.6,999,99,99
2013,1,5,5,50,211  4.0  4.9,2.24,12.9,8.26,277 1023.0,11.8,12.5,999,99,99
2013,1,5,6,50,193  3.5  4.4,2.36,13.79,8.87,273 1023.3,11.9,12.5,999,99,99
2013,1,5,7,50,200  4.6  5.7,2.03,12.12,8.56,282 1023.2,11.9,12.5,999,99,99
2013,1,5,8,50,195  3.6  4.2,2.25,13.79,8.97,287 1023.1,11.9,12.5,999,99,99
2013,1,5,9,50,204  3.8  4.7,2.22,11.43,8.81,285 1023.2,12.1,12.5,999,99,99
2013,1,5,10,50,197  4.6  5.2,2.2,11.43,9.23,286 1023.6,12.1,12.5,999,99,99
2013,1,5,11,50,211  4.2  4.9,2.39,12.9,9.62,286 1023.6,12,12.5,999,99,99
2013,1,5,12,50,190  4.6  6.7,2.12,13.79,8.92,287 1023.4,12,12.5,999,99,99
2013,1,5,13,50,185  3.7  5.5,2.26,12.9,9.44,281 1023.7,11.9,12.4,999,99,99
2013,1,5,14,50,191  5.1  6.2,1.98,12.12,8.9,277 1023.8,12.1,12.4,999,99,99
2013,1,5,15,50,205  4.1  4.8,2.39,12.9,9.44,277 1023.9,12.1,12.4,999,99,99
2013,1,5,16,50,179  4.1  5.0,2.13,13.79,9.18,281 1024.1,12.5,12.3,999,99,99
2013,1,5,17,50,168  4.9  5.8,2.07,12.9,8.72,280 1024.1,12.6,12.4,999,99,99
2013,1,5,18,50,151  6.5  8.2,1.99,13.79,8.91,268 1022.9,12.3,12.5,999,99,99
2013,1,5,19,50,171  6.9  8.0,1.88,13.79,7.45,274 1022.5,12.4,12.6,999,99,99
2013,1,5,20,50,173  8.0  9.6,1.8,12.9,6.34,275 1021.4,12.4,12.6,999,99,99
2013,1,5,21,50,170  9.4 11.8,1.88,12.9,6.33,270 1020.3,11.8,12.6,999,99,99
2013,1,5,22,50,157  8.9 11.5,1.72,12.9,5.79,275 1019.7,11.4,12.6,999,99,99
2013,1,5,23,50,168 11.0 13.1,1.92,12.9,5.83,279 1019.1,11.2,12.6,999,99,99
2013,1,6,0,50,213  8.4 10.6,2.08,12.9,5.61,252 1019.8,10.8,12.6,999,99,99
2013,1,6,1,50,214  2.6  3.7,2.16,12.9,6.16,282 1019.4,10.7,12.6,999,99,99
2013,1,6,2,50,242  4.3  5.5,1.96,12.12,6.08,268 1019.5,11.5,12.5,999,99,99
2013,1,6,3,50,270  4.6  6.2,2.06,12.12,6.61,271 1019.4,10.9,12.5,999,99,99
2013,1,6,4,50,238  4.7  5.7,2,12.9,6.91,273 1019.3,11.1,12.4,999,99,99
2013,1,6,5,50,222  6.6 10.4,1.94,12.12,6.94,272 1019.5,10.5,12.4,999,99,99
2013,1,6,6,50,273  7.8  9.5,1.82,13.79,6.83,276 1019.0,11.2,12.3,999,99,99
2013,1,6,7,50,284  8.4  9.9,2.01,12.12,6.78,270 1018.7,11.5,12.3,999,99,99
2013,1,6,8,50,292  9.2 13.0,2.12,12.9,6.35,279 1018.1,11.1,12.4,999,99,99
2013,1,6,9,50,295  8.6 10.7,2.3,12.12,6.31,286 1018.2,11.1,12.4,999,99,99
2013,1,6,10,50,284 10.7 13.3,2.74,13.79,6.39,287 1017.9,10.6,12.4,999,99,99
2013,1,6,11,50,280 10.3 12.3,3.26,11.43,6.76,294 1017.0,10.1,12.4,999,99,99
2013,1,6,12,50,336 11.0 13.8,4.19,8.33,7.26,286 1015.5,11.3,12.4,999,99,99
2013,1,6,13,50,3  8.2  9.8,3.71,9.09,7.39,292 1017.8,10.5,12.4,999,99,99
2013,1,6,14,50,340 10.3 12.1,3.26,8.33,7.25,278 1019.2,10.4,12.4,999,99,99
2013,1,6,15,50,360  8.2  9.7,3.33,9.09,7.4,286 1020.2,10,12.4,999,99,99
2013,1,6,16,50,337  6.7  8.1,3.65,10,7.94,276 1021.1,10.3,12.4,999,99,99
2013,1,6,17,50,337  5.6  7.2,3.79,10,8.09,266 1021.9,10.6,12.4,999,99,99
2013,1,6,18,50,356  6.0  8.0,3.6,9.09,8.1,274 1021.9,11,12.4,999,99,99
2013,1,6,19,50,341  7.9 10.3,3.84,10,8.18,277 1020.9,10.9,12.3,999,99,99
2013,1,6,20,50,337  8.1 10.4,3.73,10,8.12,278 1020.6,10.4,12.3,999,99,99
2013,1,6,21,50,323  9.6 12.0,4.13,14.81,8.88,303 1020.4,10.4,12.3,999,99,99
2013,1,6,22,50,335  9.4 11.3,3.72,14.81,8.04,297 1020.2,11.2,12.3,999,99,99
2013,1,6,23,50,337  8.5 10.4,3.87,13.79,8.57,293 1020.6,11.2,12.4,999,99,99
