YY,MM,DD,hh,mm,WDIR WSPD GST,WVHT,DPD,APD,MWD   PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT m/s  m/s,m,sec,sec,degT   hPa,degC,degC,degC,mi,ft
2014,12,31,23,50,333  7.3  8.8,99,99,99,999 1019.2,12.7,14.3,999,99,99
2015,1,1,0,50,335  8.1  9.1,99,99,99,999 1018.8,13.3,14.3,999,99,99
2015,1,1,1,50,328  7.8  9.2,99,99,99,999 1019.1,12.7,14.4,999,99,99
2015,1,1,2,50,328  6.9  8.0,99,99,99,999 1019.2,13,14.3,999,99,99
2015,1,1,3,50,323  4.6  5.7,1.13,12.9,5.15,307 1019.3,13.1,14.3,999,99,99
2015,1,1,4,50,333  4.2  5.3,1.05,12.9,5.63,311 1018.8,13.2,14.2,999,99,99
2015,1,1,5,50,323  3.5  4.7,1.05,12.9,6.06,301 1018.6,13.6,14.2,999,99,99
2015,1,1,6,50,309 99.0 99.0,99,99,99,999 9999.0,999,999,999,99,99
2015,1,1,7,50,304  4.1  5.1,0.98,12.9,6.34,301 1018.3,13.4,14.2,999,99,99
2015,1,1,9,50,335  4.6  5.6,1.06,12.9,6.09,292 1018.1,13.5,14.2,999,99,99
2015,1,1,10,50,71  4.7  5.5,1.06,12.12,6.23,300 1018.3,11,14.2,999,99,99
2015,1,1,11,50,72  3.8  5.1,1.14,12.9,6.26,303 1018.4,10.7,14.2,999,99,99
2015,1,1,12,50,80  4.8  5.8,1.16,8.33,5.96,320 1017.9,10.1,14.2,999,99,99
2015,1,1,13,50,83  5.0  6.0,1.28,9.09,5.97,320 1018.1,9.9,14.1,999,99,99
2015,1,1,14,50,91  5.1  6.3,1.18,9.09,5.65,327 1018.6,9.8,14.1,999,99,99
2015,1,1,15,50,85  5.4  6.3,1.32,8.33,5.64,319 1018.9,10,14.1,999,99,99
2015,1,1,16,50,90  5.5  6.6,1.54,10,5.86,306 1020.2,10.1,14.1,999,99,99
2015,1,1,17,50,93  4.3  5.5,1.51,8.33,5.84,316 1021.0,10,14.1,999,99,99
2015,1,1,18,50,80  5.5  6.5,1.66,9.09,6.18,318 1020.9,10.2,14.2,999,99,99
2015,1,1,19,50,83  3.6  4.6,1.79,9.09,6.34,320 1020.3,10.3,14.2,999,99,99
2015,1,1,20,50,99  3.5  5.1,1.69,9.09,6.52,320 1019.8,10.5,14.3,999,99,99
2015,1,1,21,50,97  3.1  4.2,1.52,9.09,6.4,320 1019.1,11.1,14.4,999,99,99
2015,1,1,22,50,67  2.1  3.0,1.51,9.09,6.35,322 1019.6,11.6,14.5,999,99,99
2015,1,1,23,50,6  1.9  2.6,1.16,11.43,6.12,307 1020.1,11.7,14.5,999,99,99
2015,1,2,0,50,345  2.1  2.9,1.16,10.81,6.73,308 1020.2,11.7,14.6,999,99,99
2015,1,2,1,50,336  1.8  2.6,1.01,10.81,6.69,313 1020.6,11.6,14.5,999,99,99
2015,1,2,2,50,324  0.7  1.6,1.05,10.81,7.47,311 1020.7,11.5,14.4,999,99,99
2015,1,2,3,50,42  1.0  1.4,1.05,10.81,7.27,315 1020.6,12,14.3,999,99,99
2015,1,2,4,50,60  1.1  1.6,1.12,10.81,7.3,305 1020.9,12.2,14.3,999,99,99
2015,1,2,5,50,51  1.7  2.3,1.16,9.09,7.04,319 1020.9,12.2,14.2,999,99,99
2015,1,2,6,50,121  0.5  1.1,1.13,12.9,7.11,301 1021.1,12,14.2,999,99,99
2015,1,2,7,50,89  3.1  3.8,1.24,9.09,7.15,318 1021.4,11.7,14.2,999,99,99
2015,1,2,8,50,105  3.1  3.9,1.27,7.69,7,316 1021.2,11.6,14.2,999,99,99
2015,1,2,9,50,85  4.4  5.5,1.17,13.79,6.65,303 1021.5,11.1,14.2,999,99,99
2015,1,2,10,50,99  4.6  5.5,1.19,13.79,6.17,290 1021.4,10.9,14.2,999,99,99
2015,1,2,11,50,96  4.6  5.5,1.3,12.9,6.15,302 1021.1,10.9,14.2,999,99,99
2015,1,2,12,50,92  4.7  5.5,99,99,99,999 1020.8,10.6,14.1,999,99,99
2015,1,2,13,50,88  4.2  5.2,1.37,13.79,6.37,304 1020.9,10.6,14.2,999,99,99
2015,1,2,14,50,95  4.0  5.0,1.35,13.79,6.57,305 1021.2,10.5,14.2,999,99,99
2015,1,2,15,50,82  4.1  5.4,1.3,12.9,6.38,299 1021.8,10.4,14.2,999,99,99
2015,1,2,16,50,74  4.5  5.6,1.2,12.9,6.34,295 1022.4,10.3,14.2,999,99,99
2015,1,2,17,50,92  4.4  5.3,1.26,12.9,6.32,309 1022.8,10.4,14.2,999,99,99
2015,1,2,18,50,88  3.9  5.3,1.18,12.12,6.06,296 1022.4,10.5,14.3,999,99,99
2015,1,2,19,50,79  3.4  4.3,1.07,12.9,6.05,293 1021.4,10.6,14.4,999,99,99
2015,1,2,20,50,55  2.5  3.7,1.15,12.12,6.69,303 1020.4,10.8,14.4,999,99,99
2015,1,2,21,50,15  1.6  2.4,1.13,12.9,7.07,295 1019.9,11,14.5,999,99,99
2015,1,2,22,50,332  3.0  4.2,1,12.9,6.86,308 1019.9,11.5,14.6,999,99,99
2015,1,2,23,50,314  4.0  4.8,99,99,99,999 1020.0,11.8,14.7,999,99,99
2015,1,3,0,50,324  5.1  6.0,0.98,12.12,7.85,295 1019.8,11.7,14.7,999,99,99
2015,1,3,1,50,321  5.3 99.0,99,99,99,999 1020.1,12.1,14.6,999,99,99
2015,1,3,2,50,317  5.1 99.0,99,99,99,999 9999.0,999,999,999,99,99
2015,1,3,3,50,317  5.4  6.3,1.06,12.12,5.89,300 1020.8,12.1,14.4,999,99,99
2015,1,3,4,50,312  5.7  6.9,1.12,12.12,6.24,315 1021.3,12.3,14.4,999,99,99
2015,1,3,5,50,329  6.7  8.3,1.11,12.12,5.78,285 1021.5,12.2,14.3,999,99,99
2015,1,3,6,50,345  7.3  8.7,1.18,12.12,5.6,301 1021.7,12,14.2,999,99,99
2015,1,3,7,50,4  6.3  7.6,1.19,11.43,5.75,294 1021.6,11.7,14.2,999,99,99
2015,1,3,8,50,15  6.1  7.5,1.1,12.12,5.61,300 1021.8,11.7,14.1,999,99,99
2015,1,3,9,50,36  3.4  5.7,99,99,99,999 1022.4,11.4,14.1,999,99,99
2015,1,3,10,50,11  4.8  6.4,1.04,12.12,5.66,303 1022.5,11.7,14.1,999,99,99
2015,1,3,11,50,89  2.4  3.4,1.03,12.9,5.42,286 1022.9,10.6,14,999,99,99
2015,1,3,12,50,92  3.9  4.8,0.99,11.43,5.68,299 1022.6,10.7,14,999,99,99
2015,1,3,13,50,82  3.6  4.8,0.97,11.43,5.95,303 1022.8,10.6,14,999,99,99
2015,1,3,14,50,95  5.2  6.5,0.83,11.43,5.13,301 1022.9,10.2,14,999,99,99
