YY,MM,DD,hh,WD,WSPD GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2002,1,3,8,316,5.8  7.2,3.7,12.5,9.61,263,1021,11.9,11.7,10.6,99,99
2002,1,3,9,324,5.4  6.7,3.91,12.5,9.9,272,1021.4,11.9,11.7,11.2,99,99
2002,1,3,10,325,5.3  6.7,3.59,11.11,9.28,266,1022,11.9,11.7,10.5,99,99
2002,1,3,11,336,4.9  6.0,3.41,12.5,9.13,270,1022.6,12,11.7,10.7,99,99
2002,1,3,12,344,4.6  5.6,3.59,12.5,9.56,261,1022.2,11.8,11.7,10.5,99,99
2002,1,3,13,347,3.7  4.8,3.48,12.5,9.34,270,1022.4,11.8,11.7,10.4,99,99
2002,1,3,14,325,4.4  5.9,3.05,12.5,8.98,262,1023.1,11.8,11.7,10,99,99
2002,1,3,15,318,4.1  5.2,2.74,12.5,8.89,264,1023.4,11.8,11.7,10.5,99,99
2002,1,3,16,333,3.8  4.6,3.13,12.5,9.13,258,1023.9,11.8,11.7,10.3,99,99
2002,1,3,17,333,4.6  5.6,3.06,12.5,9.23,260,1024.3,11.8,11.8,9.5,99,99
2002,1,3,18,316,3.8  4.8,3.03,12.5,9.35,264,1025.2,11.8,11.8,9.8,99,99
2002,1,3,19,311,3.9  4.8,2.97,12.5,9.36,259,1025.3,11.8,11.8,10.1,99,99
2002,1,3,20,331,6.3  7.4,2.91,12.5,9.53,264,1025.1,11.3,11.8,10.2,99,99
2002,1,3,21,320,6.2  7.7,3.14,12.5,9.03,269,1024.4,11.9,11.8,10,99,99
2002,1,3,22,307,7.0  8.6,3.06,11.11,8.97,271,1024.6,11.9,11.8,9.9,99,99
2002,1,3,23,322,7.2  8.5,3.16,12.5,9.16,269,1024.4,12,11.8,10,99,99
2002,1,4,0,325,7.9  9.2,3.17,12.5,8.77,277,1024.4,11.4,11.8,10.1,99,99
2002,1,4,1,316,7.9  9.5,2.76,12.5,8.03,276,1025,11.3,11.8,9.8,99,99
2002,1,4,2,315,8.3  9.6,3.02,12.5,8.74,275,1025,11.7,11.8,10.2,99,99
2002,1,4,3,316,7.8  9.9,3.38,12.5,8.76,278,1025.4,11.9,11.8,9.6,99,99
2002,1,4,4,331,6.8  7.8,2.9,12.5,8.5,266,1025.2,11.9,11.8,9.6,99,99
2002,1,4,5,326,6.4  7.9,2.9,12.5,8.75,278,1025.8,11.9,11.8,9.8,99,99
2002,1,4,6,329,6.2  7.5,2.8,12.5,8.51,271,1025.8,11.9,11.8,10.2,99,99
2002,1,4,7,353,5.0  6.0,3,12.5,8.88,274,1025.4,11.8,11.8,10.4,99,99
2002,1,4,8,13,2.5  3.4,2.61,12.5,8.48,278,1025.1,11.5,11.8,10.3,99,99
2002,1,4,9,350,2.0  2.8,2.74,12.5,8.67,271,1024.8,11.4,11.8,9.9,99,99
2002,1,4,10,45,2.5  3.8,2.48,12.5,8.75,270,1024.2,11.3,11.8,9.1,99,99
2002,1,4,11,341,0.6  1.1,2.19,12.5,8.35,272,1024.3,11.1,11.8,8.1,99,99
2002,1,4,12,52,3.7  5.2,2.54,12.5,8.8,267,1023.6,11.3,11.8,8.7,99,99
2002,1,4,13,30,4.7  5.7,2.24,12.5,8.15,270,1023.2,11.5,11.8,8.8,99,99
2002,1,4,14,56,4.9  6.8,2.27,12.5,7.94,267,1023.8,11.4,11.8,7.5,99,99
2002,1,4,15,55,5.7  7.4,2.3,12.5,8.13,270,1024.3,11.1,11.8,8,99,99
2002,1,4,16,58,6.4  7.8,2.14,12.5,7.67,266,1024.3,10.8,11.8,7.8,99,99
2002,1,4,17,64,5.9  7.6,2.09,12.5,7.5,274,1025.4,10.7,11.8,7.4,99,99
2002,1,4,18,76,7.4  9.1,2.28,12.5,7.93,268,1025.3,10.9,11.8,7,99,99
2002,1,4,19,78,7.6  9.4,2.19,12.5,7.34,268,1025.2,11.1,11.8,7.2,99,99
2002,1,4,20,74,7.5  9.7,2.09,11.11,7.34,275,1023.9,11.8,11.7,7,99,99
2002,1,4,21,86,7.0  8.6,1.99,11.11,7.27,278,1023.3,11.9,11.7,7.7,99,99
2002,1,4,22,102,4.0  5.5,1.92,11.11,6.88,265,1023.3,12.3,11.7,8.3,99,99
2002,1,4,23,150,2.3  3.1,1.84,11.11,7.49,270,1023.6,13.1,11.7,7.7,99,99
2002,1,5,0,115,3.3  4.7,1.88,11.11,8.19,271,1022.8,12.6,11.7,10.2,99,99
2002,1,5,1,168,2.7  3.7,1.95,11.11,8.54,273,1023.9,12.1,11.7,10.5,99,99
2002,1,5,2,180,3.0  3.7,1.71,11.11,8.6,278,1024.4,12.2,11.6,10.9,99,99
2002,1,5,3,190,2.9  3.6,1.79,11.11,8.2,285,1025.3,12.1,11.5,10.8,99,99
2002,1,5,4,137,3.3  4.0,1.7,10,8.09,291,1025.3,12,11.6,10.7,99,99
2002,1,5,5,136,5.0  5.8,1.65,11.11,8.08,282,1025.7,12,11.6,11.1,99,99
2002,1,5,6,159,4.0  5.0,1.7,10,8.37,295,1026.5,12.1,11.6,11.2,99,99
2002,1,5,7,153,3.0  3.6,1.47,10,8.13,272,1026.7,12,11.6,10.9,99,99
2002,1,5,8,120,3.6  4.6,1.34,9.09,7.99,276,1026.8,11.9,11.6,9.6,99,99
2002,1,5,9,79,4.4  5.3,1.23,10,7.84,282,1026.4,11.5,11.5,10.1,99,99
2002,1,5,10,80,6.5  7.7,1.31,12.5,8.1,262,1025.6,11.5,11.5,9.4,99,99
2002,1,5,11,81,6.4  7.7,1.15,11.11,7.3,258,1025.7,11.1,11.5,9.4,99,99
2002,1,5,12,88,6.5  7.6,1.29,12.5,6.73,260,1025.1,11.4,11.5,9.9,99,99
2002,1,5,13,109,3.3  3.9,1.24,12.5,7.16,270,1026.1,11.8,11.5,10.3,99,99
2002,1,5,14,98,3.3  4.2,1.13,11.11,7.34,265,1026.8,11.9,11.5,9.3,99,99
2002,1,5,15,88,4.6  5.3,1.09,12.5,7.06,266,1027.1,11.4,11.5,9.2,99,99
2002,1,5,16,79,4.1  5.4,99,99,99,999,1027.3,11.8,11.5,9.6,99,99
2002,1,5,17,90,5.7  6.9,1.36,12.5,7.58,270,1027.9,11.4,11.5,9.7,99,99
2002,1,5,18,89,5.8  7.1,1.39,11.11,7.13,266,1028.5,11.7,11.5,9.4,99,99
2002,1,5,19,98,6.1  7.3,1.56,11.11,7.2,267,1028.4,11.5,11.5,9.4,99,99
2002,1,5,20,84,4.4  5.5,1.68,11.11,7.42,269,1027.4,11.9,11.5,9.4,99,99
2002,1,5,21,115,4.1  5.6,1.78,10,7.59,275,1026.7,12.6,11.5,9.5,99,99
2002,1,5,22,121,3.3  4.1,1.84,10,7.81,269,1026.8,12.6,11.5,10.9,99,99
2002,1,5,23,141,4.5  5.3,1.76,12.5,8.21,267,1026.6,12.8,11.5,11.2,99,99
2002,1,6,0,130,5.1  6.2,1.82,12.5,8.48,267,1026.6,12.8,11.6,10.6,99,99
2002,1,6,1,136,3.6  4.5,1.85,14.29,8.46,270,1026.4,12.6,11.6,10.7,99,99
2002,1,6,2,123,1.5  2.2,1.78,14.29,8.12,266,1027.4,12.6,11.5,10.9,99,99
2002,1,6,3,117,3.5  4.3,1.81,14.29,8.54,271,1027.1,12.6,11.5,11.2,99,99
2002,1,6,4,125,2.9  3.6,1.63,12.5,7.84,270,1027.2,12.6,11.5,11.6,99,99
2002,1,6,5,102,2.8  3.5,1.94,12.5,8.88,270,1027.5,12.5,11.5,11.6,99,99
2002,1,6,6,107,3.4  4.3,1.96,14.29,9.08,270,1027.7,12.6,11.5,11.4,99,99
2002,1,6,7,113,4.5  5.4,1.69,14.29,8.34,278,1027.4,12.6,11.5,10.3,99,99
2002,1,6,8,104,4.4  5.6,2.1,12.5,8.92,271,1027,12.6,11.5,10.3,99,99
2002,1,6,9,89,3.8  4.9,2.05,12.5,9.18,272,1026.2,12.7,11.5,9.3,99,99
2002,1,6,10,77,2.8  4.3,2.3,12.5,9.51,274,1025.8,12.9,11.5,8.9,99,99
2002,1,6,11,191,1.6  2.2,2.13,12.5,9.44,280,1026.7,12.8,11.5,9.7,99,99
2002,1,6,12,75,3.0  4.4,2.4,11.11,9.53,267,1026.4,12.5,11.5,10.9,99,99
2002,1,6,13,84,5.0  7.1,2.31,11.11,9.14,272,1025.6,12.1,11.5,9.8,99,99
2002,1,6,14,66,2.5  3.8,2.12,11.11,8.82,273,1026.7,12.1,11.5,9.9,99,99
2002,1,6,15,93,2.3  3.6,2.23,11.11,9.03,275,1027,12.2,11.5,10.1,99,99
2002,1,6,16,80,3.6  4.7,2.2,11.11,8.76,275,1026.9,12.3,11.5,10.5,99,99
2002,1,6,17,89,4.3  5.6,2.02,10,8.48,263,1027.3,12.3,11.5,10,99,99
2002,1,6,18,91,4.1  5.1,2.31,12.5,8.75,271,1028.3,12.2,11.5,9.9,99,99
2002,1,6,19,86,4.6  6.2,2.12,12.5,8.16,268,1028,12.1,11.5,9.2,99,99
2002,1,6,20,99,3.9  5.1,2.4,11.11,8.69,266,1026.8,12.4,11.6,9.7,99,99
2002,1,6,21,108,0.9  1.6,2.22,12.5,8.52,267,1026.8,12.9,11.7,10.2,99,99
2002,1,6,22,88,0.4  1.8,2.46,12.5,8.89,277,1026.4,12.9,11.8,10.8,99,99
2002,1,6,23,355,0.3  1.0,2.21,12.5,8.92,274,1026.5,13,11.9,11.2,99,99
2002,1,7,0,61,0.2  1.0,2.38,14.29,9.34,273,1026.4,13.5,11.9,11.1,99,99
2002,1,7,1,122,1.0  2.1,2.25,12.5,8.97,268,1025.8,12.9,11.9,12.1,99,99
2002,1,7,2,168,0.7  1.1,2.54,12.5,10.11,267,1025.9,12.2,11.9,12,99,99
2002,1,7,3,173,2.3  3.0,2.86,12.5,10.4,269,1026,11.2,11.9,11.1,99,99
2002,1,7,4,170,2.5  3.1,2.69,12.5,10.14,271,1026.4,10.7,11.9,10.6,99,99
2002,1,7,5,184,2.1  2.8,3.48,14.29,10.82,270,1026.6,10.5,12,10.4,99,99
2002,1,7,6,190,0.7  1.3,3.42,12.5,10.45,270,1027.1,10.3,11.8,10.1,99,99
2002,1,7,7,128,1.7  3.1,3.1,12.5,9.97,271,1027.1,10.1,11.8,10.1,99,99
2002,1,7,8,151,1.8  2.8,3.21,11.11,10,272,1027,9.9,11.8,9.7,99,99
2002,1,7,9,163,1.1  2.0,3.75,12.5,10.45,272,1026.7,9.8,11.7,9.7,99,99
2002,1,7,10,126,1.7  3.0,3.24,12.5,9.93,270,1026.4,9.9,11.8,9.8,99,99
2002,1,7,11,132,1.9  4.5,2.93,12.5,9.76,266,1026.3,9.8,11.7,9.7,99,99
2002,1,7,12,121,2.8  4.3,3.01,12.5,9.69,267,1025.6,9.4,11.8,9.2,99,99
2002,1,7,13,115,2.3  4.1,3.04,12.5,9.92,268,1025,9.4,11.8,9.2,99,99
2002,1,7,14,123,2.3  3.8,99,99,99,999,1024.9,9.1,11.8,8.9,99,99
2002,1,7,15,68,2.2  3.9,2.94,14.29,10.04,263,1025.1,9,11.8,8.8,99,99
2002,1,7,16,109,1.6  3.0,3.12,14.29,10.48,268,1025.5,9.2,11.8,9.1,99,99
2002,1,7,17,145,1.6  2.9,99,99,99,999,1025.9,9.1,11.8,8.9,99,99
2002,1,7,18,145,1.6  2.6,99,99,99,999,1026.6,9.5,11.9,9.4,99,99
2002,1,7,19,151,2.4  3.2,3.69,14.29,11.46,265,1026.9,9.6,12.1,9.4,99,99
2002,1,7,20,185,2.1  3.7,4.02,14.29,11.92,265,1026.9,9.9,12.1,9.8,99,99
2002,1,7,21,173,3.0  4.5,4.85,14.29,12.37,265,1026,10.2,12.2,10,99,99
2002,1,7,22,196,3.0  4.6,99,99,99,999,1025.5,10.9,12.2,10.8,99,99
2002,1,7,23,186,2.4  3.6,4.65,14.29,12.32,271,1025.2,11.1,12.3,11,99,99
2002,1,8,0,148,2.8  4.1,4.14,16.67,12.16,271,1024.9,11.1,12.4,11,99,99
2002,1,8,1,112,2.5  4.2,4.14,16.67,12.25,269,1024.3,10.6,12.4,10.4,99,99
2002,1,8,2,106,2.7  4.2,4.1,16.67,12.68,270,1024.6,10.1,12.4,10.1,99,99
2002,1,8,3,81,1.4  3.2,4.94,16.67,12.85,268,1024.7,9.8,12.3,9.6,99,99
2002,1,8,4,48,1.8  3.1,3.97,16.67,12.71,273,1024.7,9.8,12.3,9.7,99,99
2002,1,8,5,84,0.9  2.7,4.45,16.67,12.81,274,1024.7,9.6,12.3,9.6,99,99
2002,1,8,6,108,1.6  3.4,3.97,16.67,12.64,281,1024.4,9.8,12.3,9.7,99,99
2002,1,8,7,108,3.5  5.5,3.79,14.29,11.63,277,1024.1,10.2,12.3,10,99,99
2002,1,8,8,91,3.0  5.2,4.31,16.67,12.45,282,1023.6,10.5,12.3,10.5,99,99
2002,1,8,9,75,2.4  4.3,4.31,16.67,12.18,276,1022.9,11.1,12.3,10.4,99,99
2002,1,8,10,79,3.9  5.9,4.41,16.67,12.5,278,1022.4,11.1,12.2,10.9,99,99
2002,1,8,11,59,2.6  4.5,4.36,14.29,11.64,279,1022.9,11,12.2,10.6,99,99
2002,1,8,12,22,1.4  2.2,4.34,14.29,11.72,277,1022.7,11.7,12.1,10.4,99,99
2002,1,8,13,17,1.9  3.4,4.21,16.67,11.66,280,1022,12.2,11.9,10.5,99,99
2002,1,8,14,72,3.2  5.6,4.42,16.67,12.33,274,1021.6,12.2,11.9,10.3,99,99
2002,1,8,15,73,3.5  5.1,4.79,14.29,12.34,273,1021.7,11.9,11.8,10.6,99,99
2002,1,8,16,76,5.7  7.9,3.89,16.67,11.28,272,1021.3,11.8,11.7,10.1,99,99
2002,1,8,17,76,5.7  8.3,4.04,16.67,11.58,275,1021,12.2,11.7,10.3,99,99
2002,1,8,18,74,6.4 10.3,4.07,16.67,11.69,272,1021.3,12.1,11.7,9.6,99,99
2002,1,8,19,79,5.8  9.0,4.6,16.67,11.54,279,1021.6,12.3,11.7,8.8,99,99
2002,1,8,20,49,3.3  5.4,4.15,16.67,11.16,279,1021.3,12.6,11.7,7.9,99,99
2002,1,8,21,307,3.2  4.4,3.79,16.67,11.45,285,1020.7,12.7,11.8,11.7,99,99
2002,1,8,22,342,2.4  3.1,4.04,16.67,11.26,285,1019.3,13,11.8,11.8,99,99
2002,1,8,23,298,4.3  5.8,3.94,16.67,11.57,284,1019.3,12.8,11.8,12.3,99,99
2002,1,9,0,301,4.2  5.7,3.91,16.67,11.5,279,1019.1,12.7,11.8,12.5,99,99
2002,1,9,1,305,3.8  5.2,3.92,16.67,11.4,278,1018.8,12,11.7,11.9,99,99
2002,1,9,2,303,3.1  4.9,4.16,16.67,11.66,280,1018.3,11.6,11.7,11.4,99,99
2002,1,9,3,287,6.2  7.8,3.95,16.67,11.88,285,1018.7,11.1,11.7,11,99,99
2002,1,9,4,297,6.2  8.4,4.51,16.67,12.99,283,1018.8,10.8,11.7,10.6,99,99
2002,1,9,5,309,8.1 10.3,4.71,14.29,12.14,281,1019.1,11.5,11.8,11.4,99,99
2002,1,9,6,311,8.2 10.5,4.05,16.67,10.82,284,1019.3,11.5,11.7,11.3,99,99
2002,1,9,7,322,7.8  9.6,4.39,16.67,10.84,286,1019,11.5,11.7,11.3,99,99
2002,1,9,8,314,8.5 10.7,5.5,20,11.78,285,1019.1,12.5,11.7,11.8,99,99
2002,1,9,9,314,9.6 12.2,4.37,16.67,9.96,280,1019,12.1,11.7,11.4,99,99
2002,1,9,10,321,9.0 11.0,4.83,20,10.79,282,1018.9,12.1,11.7,10.8,99,99
2002,1,9,11,325,7.9 10.0,4.02,16.67,9.7,288,1018.8,12.3,11.7,11.3,99,99
2002,1,9,12,316,8.2  9.9,4.46,16.67,10.22,288,1018.3,12.3,11.7,11,99,99
2002,1,9,13,314,9.4 11.5,4.18,16.67,10.14,285,1018.5,12,11.7,10.9,99,99
2002,1,9,14,314,8.9 11.3,99,99,99,999,1018.8,11.9,11.7,10.8,99,99
2002,1,9,15,311,8.4 10.9,4.65,16.67,10.51,296,1019.4,12.1,11.7,10.5,99,99
2002,1,9,16,315,7.9  9.8,4.06,16.67,9.82,287,1019.3,12.1,11.7,10.6,99,99
2002,1,9,17,316,8.5 10.8,4.99,16.67,10.4,291,1020.3,12.1,11.7,10.4,99,99
2002,1,9,18,315,9.2 11.4,4.83,16.67,10.42,287,1020.8,12,11.7,9.3,99,99
2002,1,9,19,325,8.7 10.6,4.19,16.67,9.02,288,1021,12.2,11.7,9.6,99,99
2002,1,9,20,322,8.2 10.2,4.57,16.67,9.72,292,1020.1,12.2,11.8,8.5,99,99
2002,1,9,21,315,8.0  9.5,4.79,16.67,10.23,288,1019.3,12,11.8,9,99,99
2002,1,9,22,308,7.7  9.8,4.73,14.29,10.24,287,1019.3,12,11.8,9.4,99,99
2002,1,9,23,296,9.5 12.3,4.62,14.29,9.71,289,1019.2,12.1,11.8,9.3,99,99
2002,1,10,0,303,9.9 12.3,4.42,16.67,9.3,294,1019.2,12.1,11.8,9.3,99,99
2002,1,10,1,306,9.4 11.1,4.34,16.67,9.36,288,1019.4,11.9,11.8,9.1,99,99
2002,1,10,2,320,9.8 11.6,3.71,16.67,8.38,284,1019.5,11.8,11.8,9.2,99,99
2002,1,10,3,305,8.9 11.1,4.08,16.67,9.24,283,1020.9,11.9,11.7,9.5,99,99
2002,1,10,4,318,8.8 11.0,3.66,16.67,9.07,276,1021,12,11.7,9.3,99,99
2002,1,10,5,322,9.0 11.3,3.97,16.67,9.3,286,1021.2,11.9,11.7,9.3,99,99
2002,1,10,6,308,8.4 10.2,3.39,16.67,8.4,284,1022,11.8,11.7,9.8,99,99
2002,1,10,7,310,8.6 11.0,3.71,16.67,9.11,288,1023.3,11.9,11.7,9.3,99,99
2002,1,10,8,322,9.7 11.8,3.49,16.67,8.39,280,1022.8,11.9,11.7,9.4,99,99
2002,1,10,9,325,7.5  8.9,3.5,14.29,8.2,286,1022.5,11.4,11.7,9.7,99,99
2002,1,10,10,346,6.8  8.0,3.31,14.29,8.17,288,1022.3,11.6,11.6,10.2,99,99
2002,1,10,11,42,6.1  7.7,3.23,14.29,9,286,1022.4,11.3,11.6,10.5,99,99
2002,1,10,12,54,4.7  6.4,3.32,14.29,8.99,281,1022.4,10.8,11.6,10.6,99,99
2002,1,10,13,38,4.9  6.6,3.26,14.29,8.39,279,1022.1,11.7,11.5,10.3,99,99
2002,1,10,14,40,4.9  6.5,2.82,14.29,7.76,291,1022.5,11.9,11.5,9.7,99,99
2002,1,10,15,37,4.3  5.4,3.19,14.29,8.61,284,1023.4,11.6,11.7,9.6,99,99
2002,1,10,16,308,3.5  5.0,2.93,14.29,8.67,289,1024.1,11.7,11.7,10.6,99,99
2002,1,10,17,316,5.6  7.2,2.76,14.29,8.87,292,1024.6,12.2,11.8,10.7,99,99
2002,1,10,18,312,4.8  6.0,3.01,12.5,8.84,284,1025.4,12.2,11.8,10.3,99,99
2002,1,10,19,360,4.7  5.6,2.74,14.29,8.93,276,1025.3,12.2,11.8,10,99,99
2002,1,10,20,360,2.9  3.6,2.56,14.29,8.13,278,1024.5,12.1,11.8,9.2,99,99
2002,1,10,21,82,2.2  3.4,2.62,14.29,7.97,281,1023.9,12.4,11.9,10.2,99,99
2002,1,10,22,296,0.1  1.1,2.26,14.29,7.8,280,1023.6,13.1,12.1,10.2,99,99
2002,1,10,23,290,2.4  3.4,2.32,14.29,7.8,287,1023.5,12.2,12.1,10.7,99,99
2002,1,11,0,306,1.9  3.4,2.6,14.29,8.96,284,1023.1,12.7,12.1,10.8,99,99
2002,1,11,1,278,3.0  4.0,2.14,12.5,8.3,279,1023.4,12.8,12.1,10.7,99,99
2002,1,11,2,341,2.8  3.5,2.17,14.29,8.63,283,1022.9,12.5,11.9,11.2,99,99
2002,1,11,3,315,5.7  7.1,2.28,16.67,9.37,285,1023.7,12.9,11.9,10.2,99,99
2002,1,11,4,325,8.1  9.8,2.37,16.67,8.71,301,1023.9,12.6,11.9,10.7,99,99
2002,1,11,5,334,5.3  6.4,2.57,14.29,8.29,287,1024.2,12.5,11.9,11.1,99,99
2002,1,11,6,331,3.9  5.0,2.87,16.67,9.76,284,1024.3,12.3,11.8,11.1,99,99
2002,1,11,7,332,3.1  3.7,2.71,14.29,9.48,289,1025.1,12.3,11.8,11.4,99,99
2002,1,11,8,5,2.3  2.7,2.79,14.29,10.34,289,1025.3,12.6,11.8,9.6,99,99
2002,1,11,9,355,1.7  2.3,2.71,14.29,10.49,288,1025.1,12.9,11.8,9.5,99,99
2002,1,11,10,24,3.9  5.2,2.81,14.29,10.48,291,1024.7,12.5,11.8,9.8,99,99
2002,1,11,11,33,5.0  6.3,3.02,14.29,10.39,291,1024.5,13.2,11.8,8.7,99,99
2002,1,11,12,37,6.2  7.4,2.82,14.29,10.17,288,1024.2,12.8,11.8,8.2,99,99
2002,1,11,13,360,4.5  5.4,2.71,14.29,9.23,280,1024.2,12.6,11.8,8.7,99,99
2002,1,11,14,45,6.3  7.9,2.66,14.29,8.91,286,1024.2,12.1,11.8,7.1,99,99
2002,1,11,15,51,5.8  7.7,3.06,14.29,9.69,283,1024.2,12.7,11.8,7.8,99,99
2002,1,11,16,44,6.5  8.8,3.06,14.29,10,285,1024,12.9,11.8,7.4,99,99
2002,1,11,17,62,7.1  9.6,3.16,16.67,9.76,284,1024.2,12.8,11.8,7.9,99,99
2002,1,11,18,70,7.4  9.6,3.03,16.67,9.1,284,1024.3,13.6,11.8,7.6,99,99
2002,1,11,19,76,8.1 10.3,3.54,20,10.36,278,1024.4,13.5,11.8,6.9,99,99
