YY,MM,DD,hh,WD,WSPD GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2002,1,1,0,142,2.2  2.8,2.13,12.5,8.57,274,1019.8,11.8,11.7,11.5,99,99
2002,1,1,1,139,3.1  4.3,2.28,12.5,8.85,268,1019.2,11.4,11.7,11.2,99,99
2002,1,1,2,88,4.7  6.4,2.66,12.5,9.42,274,1018.6,11.4,11.7,11.2,99,99
2002,1,1,3,82,6.1  8.7,2.66,12.5,9.28,274,1017.9,11.5,11.7,11.5,99,99
2002,1,1,4,109,2.9  4.4,2.48,12.5,9.31,271,1018.4,11.8,11.7,11.6,99,99
2002,1,1,5,211,4.4  5.5,3.17,12.5,9.91,280,1019.3,11.9,11.6,11.8,99,99
2002,1,1,6,156,2.2  2.8,3.05,12.5,9.87,278,1019,12.1,11.6,11.9,99,99
2002,1,1,7,133,3.8  4.9,2.78,12.5,9.85,271,1019,12.1,11.6,12,99,99
2002,1,1,8,110,5.5  6.9,3,14.29,10.3,272,1017.9,11.9,11.7,11.8,99,99
2002,1,1,9,98,4.6  6.1,2.56,12.5,9.75,268,1018,11.8,11.7,11.6,99,99
2002,1,1,10,101,5.1  6.6,2.67,12.5,10.05,264,1017.8,12,11.7,11.8,99,99
2002,1,1,11,92,5.2  6.6,2.71,12.5,10.17,263,1017.3,12.1,11.8,11.8,99,99
2002,1,1,12,103,4.1  5.2,2.29,12.5,9.43,260,1016.9,12.2,11.8,11.9,99,99
2002,1,1,13,83,4.1  6.5,2.29,12.5,10.08,265,1016.6,12.3,11.7,11.8,99,99
2002,1,1,14,115,3.8  4.9,2.27,12.5,9.4,252,1017.2,12.2,11.8,12,99,99
2002,1,1,15,129,5.4  6.5,2.37,20,10.12,290,1016.8,12.6,11.7,12.1,99,99
2002,1,1,16,145,6.8  8.1,2.17,12.5,9.18,260,1017,12.5,11.7,12.4,99,99
2002,1,1,17,145,9.2 10.8,2.17,12.5,7.7,256,1017.5,12.6,11.8,12.3,99,99
2002,1,1,18,138,10.0 11.6,2.21,12.5,6.53,272,1017.7,12.6,11.8,12.3,99,99
2002,1,1,19,140,9.6 11.9,2.28,11.11,6.68,260,1017.6,12.6,11.8,12.2,99,99
2002,1,1,20,145,9.8 12.0,2.24,12.5,6.31,268,1017.4,12.7,11.8,12.3,99,99
2002,1,1,21,146,10.1 12.1,2.46,12.5,6.54,270,1016.9,12.7,11.9,12.1,99,99
2002,1,1,22,136,10.1 12.1,2.75,16.67,7.28,291,1016.1,12.6,11.9,12.1,99,99
2002,1,1,23,131,10.8 13.0,2.62,11.11,6.86,262,1015.7,12.7,11.7,12.1,99,99
2002,1,2,0,142,9.8 12.1,2.57,11.11,6.57,268,1015.8,12.9,11.6,12.1,99,99
2002,1,2,1,141,10.7 13.0,2.92,16.67,7.09,299,1015.7,12.9,11.6,12,99,99
2002,1,2,2,138,9.6 11.6,3.04,16.67,7.32,294,1015.7,13.1,11.6,11.9,99,99
2002,1,2,3,138,9.5 11.6,2.85,16.67,7.48,297,1015.7,13,11.6,12.2,99,99
2002,1,2,4,145,10.1 12.3,3.06,16.67,7.45,299,1015.7,13.3,11.6,12.4,99,99
2002,1,2,5,139,10.6 13.0,3.07,11.11,7.37,263,1015.1,13.2,11.7,12.6,99,99
2002,1,2,6,144,10.9 13.2,3.3,16.67,7.39,288,1014.9,13.4,11.7,12.7,99,99
2002,1,2,7,145,11.7 13.7,3.19,11.11,7.02,269,1014.6,13.4,11.7,12.8,99,99
2002,1,2,8,147,10.1 12.1,3.42,11.11,7.42,262,1014.9,13.1,11.7,12.9,99,99
2002,1,2,9,146,11.3 13.8,3.09,16.67,7.34,285,1014.8,13,11.7,12.9,99,99
2002,1,2,10,140,10.3 12.5,3.44,11.11,7.53,256,1014.9,12.9,11.7,12.7,99,99
2002,1,2,11,142,11.1 13.3,2.89,12.5,7.27,274,1014.7,999,11.7,12.7,99,99
2002,1,2,12,138,10.6 13.0,3.33,12.5,7.16,270,1014.6,12.9,11.7,12.8,99,99
2002,1,2,13,138,10.7 13.1,3.34,12.5,7.26,258,1014.5,12.9,11.7,12.8,99,99
2002,1,2,14,133,10.9 13.6,3.76,12.5,7.79,263,1014.4,12.9,11.8,12.8,99,99
2002,1,2,15,140,10.9 13.3,3.2,14.29,7.02,272,1014.7,13,11.7,12.8,99,99
2002,1,2,16,143,11.1 14.0,3.65,12.5,7.59,263,1015.1,13,11.7,12.8,99,99
2002,1,2,17,147,10.6 13.7,3.25,12.5,6.98,258,1015.8,12.9,11.7,12.8,99,99
2002,1,2,18,145,10.1 13.3,3.38,12.5,7.57,253,1016.4,13,11.7,12.9,99,99
2002,1,2,19,149,8.5 12.3,3.24,12.5,7.61,252,1016.5,12.8,11.7,12.7,99,99
2002,1,2,20,159,7.6  9.5,99,99,99,999,1016.4,12.9,11.7,12.8,99,99
2002,1,2,21,155,6.3  7.9,3.43,11.11,8.39,251,1015.8,12.7,11.7,12.5,99,99
2002,1,2,22,145,3.8  5.1,3.32,12.5,8.64,252,1015.7,12.7,11.7,12.5,99,99
2002,1,2,23,151,4.2  5.2,3.16,11.11,8.68,251,1015.8,12.6,11.7,12.6,99,99
2002,1,3,0,176,4.6  5.8,2.93,14.29,8.88,273,1016.3,12.6,11.8,12.5,99,99
2002,1,3,1,188,3.5  4.7,3.16,12.5,9.05,260,1016.4,12.6,11.8,12.4,99,99
2002,1,3,2,285,3.9  5.6,2.97,12.5,8.95,260,1017.2,12.4,11.8,12.2,99,99
2002,1,3,3,299,2.8  4.2,3.06,14.29,9.43,277,1018.1,12.1,11.8,12,99,99
2002,1,3,4,304,4.0  5.3,3.87,12.5,9.93,271,1018.7,11.8,11.7,11.6,99,99
2002,1,3,5,999,99.0 99.0,99,99,99,999,9999,999,999,999,99,99
2002,1,3,6,302,5.2  6.5,3.11,14.29,9.16,276,1020.5,11.4,11.8,11.3,99,99
2002,1,3,7,316,5.6  7.1,3.7,12.5,9.73,273,1020.7,11.2,11.8,11,99,99
