YY,MM,DD,hh,mm,WDIR WSPD GST,WVHT,DPD,APD,MWD   PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT m/s  m/s,m,sec,sec,degT   hPa,degC,degC,degC,mi,ft
2008,12,31,23,50,333  8.8 10.5,2.18,13.79,6.5,313 1021.7,10.2,12.3,999,99,99
2009,1,1,0,50,329  9.7 12.2,2.23,12.9,6.26,313 1021.8,10.5,12.3,999,99,99
2009,1,1,1,50,329 10.3 13.2,2.1,13.79,6.12,315 1021.7,10.6,12.3,999,99,99
2009,1,1,2,50,334  9.9 11.5,99,99,99,999 1021.6,10.6,12.3,999,99,99
2009,1,1,3,50,340  9.3 10.9,1.86,12.9,5.78,314 1021.9,10.6,12.3,999,99,99
2009,1,1,4,50,342  8.2 10.3,1.91,12.9,6,313 1022.1,10.6,12.2,999,99,99
2009,1,1,5,50,342  9.5 11.2,1.68,13.79,5.54,313 1022.2,11,12.2,999,99,99
2009,1,1,6,50,348  8.2 10.0,1.8,11.43,5.87,317 1022.0,11.3,12.2,999,99,99
2009,1,1,7,50,338  7.9  9.8,1.69,12.9,5.75,322 1021.7,11,12.2,999,99,99
2009,1,1,8,50,345  7.9 10.0,1.89,12.12,6.15,322 1021.7,10.7,12.2,999,99,99
2009,1,1,9,50,337  7.8  9.8,1.88,12.9,6.45,311 1021.6,10.5,12.2,999,99,99
2009,1,1,10,50,331  8.3 10.0,1.97,11.43,6.24,314 1021.9,10,12.2,999,99,99
2009,1,1,11,50,344  6.3  8.0,2,11.43,6.7,317 1021.4,10.1,12.2,999,99,99
2009,1,1,12,50,351  6.3  7.9,1.95,11.43,6.63,317 1021.3,10,12.2,999,99,99
2009,1,1,13,50,346  6.6  8.2,2.11,11.43,6.6,312 1021.2,10.3,12.2,999,99,99
2009,1,1,14,50,347  6.6  9.7,2.2,10.81,6.91,311 1021.3,9.7,12.2,999,99,99
2009,1,1,15,50,345  6.9  8.3,2.2,12.12,6.63,304 1021.4,9.9,12.2,999,99,99
2009,1,1,16,50,346  7.4  9.1,2.11,12.12,6.29,304 1021.9,9.7,12.2,999,99,99
2009,1,1,17,50,356  7.4  8.9,2.31,10,6.52,311 1022.4,9.5,12.2,999,99,99
2009,1,1,18,50,2  5.8  7.2,2.17,11.43,6.54,309 1022.7,9.6,12.2,999,99,99
2009,1,1,19,50,343  6.3  7.8,2.11,10.81,6.68,313 1021.7,9.8,12.3,999,99,99
2009,1,1,20,50,353  6.2  7.9,2.12,11.43,6.96,311 1020.8,10,12.3,999,99,99
2009,1,1,21,50,338  6.1  7.3,2.15,10,6.81,316 1019.4,9.8,12.3,999,99,99
2009,1,1,22,50,334  7.4  9.0,2.17,12.12,6.78,313 1019.1,10.4,12.3,999,99,99
2009,1,1,23,50,331  7.6  9.4,99,99,99,999 1018.9,10.9,12.3,999,99,99
2009,1,2,0,50,324  7.7  9.2,99,99,99,999 1018.6,10.8,12.3,999,99,99
2009,1,2,1,50,329  8.4 10.0,2.25,10.81,6.5,315 1018.4,10.7,12.3,999,99,99
2009,1,2,2,50,331  8.0  9.4,2.17,11.43,6.64,318 1018.5,10.7,12.3,999,99,99
2009,1,2,3,50,331 10.7 12.7,2.11,10.81,6.22,316 1018.1,10.9,12.3,999,99,99
2009,1,2,4,50,341  9.1 11.0,1.97,10.81,5.81,316 1018.3,11,12.3,999,99,99
2009,1,2,5,50,342  8.7 10.0,1.93,10.81,5.96,314 1017.9,10.9,12.3,999,99,99
2009,1,2,6,50,346  7.6  9.2,1.86,11.43,6.03,324 1018.0,10.8,12.3,999,99,99
2009,1,2,7,50,335  7.0  8.2,1.7,11.43,6.02,321 1017.9,10.8,12.3,999,99,99
2009,1,2,8,50,337  6.7  8.3,99,99,99,999 1017.6,10.7,12.3,999,99,99
2009,1,2,9,50,346  5.4  6.7,99,99,99,999 1017.4,10.6,12.2,999,99,99
2009,1,2,10,50,336  6.7  8.0,1.77,10.81,6.89,306 1018.0,10.7,12.3,999,99,99
2009,1,2,11,50,328  5.9  7.1,1.61,10,6.34,310 1017.7,10.9,12.3,999,99,99
2009,1,2,12,50,3  3.5  4.3,1.57,16,6.77,301 1017.0,10.9,12.2,999,99,99
2009,1,2,13,50,79  2.8  3.7,1.61,16,7.35,296 1016.4,10.8,12.2,999,99,99
2009,1,2,14,50,111  2.4  3.5,1.79,10.81,8.16,311 1016.4,11.1,12.2,999,99,99
2009,1,2,15,50,104  3.1  4.0,1.46,16,7.61,290 1016.4,10.8,12.2,999,99,99
2009,1,2,16,50,132  4.4  5.6,1.6,10.81,8.06,313 1015.9,11,12.2,999,99,99
2009,1,2,17,50,134  3.8  4.6,1.5,10.81,7.83,312 1016.1,10.8,12.3,999,99,99
2009,1,2,18,50,162  4.4  5.3,1.45,14.81,7.91,294 1015.7,11.3,12.3,999,99,99
2009,1,2,19,50,210  5.5  6.4,1.38,16,7.34,290 1014.7,11.9,12.3,999,99,99
2009,1,2,20,50,293  7.8  9.6,1.44,14.81,6.77,285 1013.8,12.4,12.3,999,99,99
2009,1,2,21,50,313  9.2 10.8,1.43,14.81,5.86,289 1013.2,12.3,12.3,999,99,99
2009,1,2,22,50,328 11.1 13.3,1.6,10,5.24,311 1013.7,11.4,12.3,999,99,99
2009,1,2,23,50,335 11.6 13.8,1.75,10,5.25,314 1014.1,11.4,12.3,999,99,99
2009,1,3,0,50,335 10.7 13.0,1.84,14.81,5.05,293 1014.6,11.3,12.2,999,99,99
2009,1,3,1,50,328 11.6 14.0,99,99,99,999 1014.8,11.1,12.2,999,99,99
2009,1,3,2,50,327 12.3 14.4,2.31,5.56,5.33,316 1015.1,10.8,12.2,999,99,99
2009,1,3,3,50,329 12.1 14.2,2.25,6.67,5.35,315 1015.4,10.7,12.2,999,99,99
2009,1,3,4,50,337 12.9 15.5,2.44,10,5.61,320 1015.5,10.7,12.2,999,99,99
2009,1,3,5,50,338 12.2 14.5,2.87,7.69,5.95,320 1015.8,10.6,12.2,999,99,99
2009,1,3,6,50,340 11.8 13.5,3.15,9.09,6.29,317 1016.1,10.5,12.2,999,99,99
2009,1,3,7,50,345 11.3 13.2,3.03,9.09,6.26,316 1016.1,10.3,12.2,999,99,99
2009,1,3,8,50,336 10.8 12.8,3.26,8.33,6.72,318 1015.8,10.2,12.2,999,99,99
2009,1,3,9,50,332 10.7 12.5,2.89,10.81,6.4,317 1016.3,9.9,12.2,999,99,99
2009,1,3,10,50,350  9.9 12.1,3,10.81,6.79,318 1016.3,9.9,12.2,999,99,99
2009,1,3,11,50,348 10.1 12.0,3.14,10,6.87,312 1016.4,9.6,12.2,999,99,99
