YY,MM,DD,hh,mm,WDIR WSPD GST,WVHT,DPD,APD,MWD   PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT m/s  m/s,m,sec,sec,degT   hPa,degC,degC,degC,nmi,ft
2007,1,1,0,0,335  5.9  7.6,3.04,13.79,10.21,287 1025.0,11.5,12.9,999,99,99
2007,1,1,1,0,322  6.2  9.0,3.29,14.81,10.39,287 1025.1,11.5,12.9,999,99,99
2007,1,1,2,0,346  6.3  8.2,3,13.79,9.99,296 1025.4,11.4,12.9,999,99,99
2007,1,1,3,0,346  6.2  7.6,2.98,13.79,9.71,285 1025.4,11.5,12.9,999,99,99
2007,1,1,4,0,351  6.9  8.7,2.98,12.9,9.44,293 1025.4,11.4,12.9,999,99,99
2007,1,1,5,0,333  6.6  8.0,3.02,12.9,9.24,297 1025.4,11.3,12.9,999,99,99
2007,1,1,6,0,338  6.4  8.0,2.88,12.9,9.31,297 1025.4,11.2,12.9,999,99,99
2007,1,1,7,0,342  6.7  8.2,3.17,12.9,9.75,304 1025.6,11,12.9,999,99,99
2007,1,1,8,0,345  5.8  7.2,3.07,12.9,9.9,289 1025.4,10.9,12.9,999,99,99
2007,1,1,9,0,344  6.3  8.4,3.26,12.9,9.82,298 1025.5,11,12.8,999,99,99
2007,1,1,10,0,339  6.7  8.0,2.81,12.12,9.11,295 1025.6,11.1,12.8,999,99,99
2007,1,1,11,0,345  6.2  8.3,3.17,12.12,9.6,295 1025.6,10.9,12.8,999,99,99
2007,1,1,12,0,332  7.3  9.0,2.91,12.9,9.13,286 1025.4,11,12.8,999,99,99
2007,1,1,13,0,342  8.1  9.9,2.54,11.43,8.58,286 1024.8,11,12.8,999,99,99
2007,1,1,14,0,339  9.4 11.7,2.36,13.79,7.49,292 1024.7,11.1,12.8,999,99,99
2007,1,1,15,0,348  8.3 10.0,2.52,11.43,7.84,288 1024.6,11.1,12.8,999,99,99
2007,1,1,16,0,337  7.8  9.7,2.31,13.79,7.42,288 1024.9,11.1,12.8,999,99,99
2007,1,1,17,0,353  7.4  9.3,2.32,13.79,7.3,288 1025.0,10.9,12.7,999,99,99
2007,1,1,18,0,336  8.2  9.7,2.26,12.9,7.39,278 1025.2,11.1,12.7,999,99,99
2007,1,1,19,0,329  8.5 10.3,2.05,12.9,6.83,295 1024.7,11.3,12.7,999,99,99
2007,1,1,20,0,348  7.1  8.3,2.09,12.9,6.71,290 1023.0,11.6,12.7,999,99,99
