YY,MM,DD,hh,WD,WSPD GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS
1996,1,1,0,321,10.4 12.7,3.73,16.67,8.3,290,1020.4,14.1,13.6,999,99
1996,1,1,1,326,12.0 15.3,3.7,16.67,8.02,289,1020.2,14.1,13.6,999,99
1996,1,1,2,330,12.6 15.2,3.78,16.67,8.08,293,1020.1,14.1,13.6,999,99
1996,1,1,3,329,12.5 15.8,4.19,16.67,8.48,288,1019.4,14,13.6,999,99
1996,1,1,4,329,13.1 15.8,3.96,16.67,8.08,288,1018.9,13.7,13.6,999,99
1996,1,1,5,329,13.1 16.8,4.04,16.67,7.8,285,1018.4,14,13.6,999,99
1996,1,1,6,331,11.5 14.0,4.31,16.67,8.24,289,1018.6,13.7,13.4,999,99
1996,1,1,7,335,10.2 13.3,4.02,16.67,7.91,297,1018.9,14.1,13.4,999,99
1996,1,1,8,335,10.4 12.9,4.61,16.67,9.12,299,1018.7,14.1,13.4,999,99
1996,1,1,9,333,9.8 12.5,4.52,16.67,8.52,296,1018.1,14.2,13.4,999,99
1996,1,1,10,333,9.7 11.4,4.48,16.67,8.83,290,1018.2,14.4,13.4,999,99
1996,1,1,11,999,99.0 99.0,99,99,99,999,9999,999,999,999,99
1996,1,1,12,334,9.1 11.0,99,99,99,999,1018.6,14.1,13.4,999,99
1996,1,1,13,333,8.7 10.8,3.82,16.67,8.16,286,1018.7,14.2,13.4,999,99
1996,1,1,14,340,7.0  8.4,4.26,16.67,9.25,283,1018.9,14.1,13.4,999,99
1996,1,1,15,6,4.1  5.1,3.98,16.67,8.63,285,1019.6,14.5,13.4,999,99
1996,1,1,16,345,5.6  7.1,4.12,14.29,9.81,290,1020.3,14.2,13.6,999,99
1996,1,1,17,999,99.0 99.0,99,99,99,999,9999,999,999,999,99
1996,1,1,18,999,99.0 99.0,99,99,99,999,9999,999,999,999,99
1996,1,1,19,3,4.2  5.5,3.8,16.67,8.74,276,1020.6,14.1,13.6,999,99
1996,1,1,20,355,3.2  4.2,3.92,14.29,9.08,289,1020.2,14.2,13.6,999,99
1996,1,1,21,344,3.6  4.8,3.56,16.67,8.74,283,1019,14.7,13.6,999,99
1996,1,1,22,348,1.5  2.6,3.59,14.29,8.66,288,1018.6,14.8,13.7,999,99
1996,1,1,23,310,.9  2.1,3.39,14.29,8.58,286,1018.6,15.2,13.7,999,99
1996,1,2,0,320,2.1  3.2,3.18,14.29,8.7,284,1018.2,15.6,13.7,999,99
1996,1,2,1,337,4.6  5.9,99,99,99,0,1018,15.7,13.7,999,99
1996,1,2,2,330,4.4  5.5,3.21,14.29,8.48,285,1018.1,15.2,13.7,999,99
1996,1,2,3,346,4.5  6.8,3.14,14.29,8.51,282,1018.2,14.9,13.6,999,99
1996,1,2,4,332,5.6  6.7,3.01,12.5,8.18,285,1018.1,14.8,13.4,999,99
1996,1,2,5,346,4.6  5.6,2.79,14.29,8,283,1018.1,14.5,13.4,999,99
1996,1,2,6,28,2.6  3.6,2.85,14.29,8.3,290,1018.2,14.5,13.4,999,99
1996,1,2,7,345,3.9  4.9,3.15,14.29,8.64,277,1018.3,14.6,13.4,999,99
1996,1,2,8,352,3.7  4.7,2.67,12.5,8.28,286,1018.1,14.9,13.4,999,99
1996,1,2,9,23,1.6  2.4,2.82,14.29,8.88,262,1017.4,14.5,13.3,999,99
1996,1,2,10,330,1.5  2.4,2.96,14.29,8.43,270,1016.7,14.2,13.4,999,99
1996,1,2,11,303,2.6  3.7,2.74,14.29,8.16,275,1016.7,14.4,13.3,999,99
1996,1,2,12,149,.1  1.0,2.45,14.29,8.03,267,1016.6,14.1,13.3,999,99
1996,1,2,13,204,.8  2.1,2.55,14.29,8.45,269,1016.5,14.3,13.3,999,99
1996,1,2,14,111,1.4  2.1,2.12,14.29,7.79,246,1016.6,14.2,13.3,999,99
1996,1,2,15,80,2.3  3.7,2.16,12.5,7.91,283,1016.8,14.4,13.3,999,99
1996,1,2,16,44,2.5  3.6,2.28,12.5,8.03,281,1017.8,14.4,13.3,999,99
1996,1,2,17,41,3.6  4.5,2.33,14.29,8.2,257,1018,14.9,13.3,999,99
1996,1,2,18,65,3.6  4.9,2.38,11.11,7.81,288,1018.6,14.5,13.3,999,99
1996,1,2,19,122,3.1  4.6,2.09,12.5,7.44,270,1018.8,14.9,13.3,999,99
1996,1,2,20,142,2.4  3.2,2.1,14.29,7.75,250,1018.7,15.2,13.4,999,99
1996,1,2,21,125,2.8  4.0,2.1,14.29,8.25,264,1018,15.2,13.6,999,99
1996,1,2,22,267,1.0  1.6,1.85,14.29,7.87,225,1018,15.7,13.7,999,99
1996,1,2,23,124,.7  1.6,1.75,14.29,7.45,265,1017.9,15.5,14.1,999,99
1996,1,3,0,329,1.0  1.5,1.85,14.29,7.97,211,1018,15.7,14.1,999,99
1996,1,3,1,339,1.5  2.3,1.74,14.29,7.83,266,1018.1,15.2,13.6,999,99
1996,1,3,2,313,2.1  2.8,1.88,12.5,8.51,285,1018.4,14.5,13.6,999,99
1996,1,3,3,227,.7  1.2,1.83,14.29,8.53,249,1018.6,14.2,13.4,999,99
1996,1,3,4,336,1.8  2.3,2.08,14.29,8.9,252,1018.7,14.5,13.6,999,99
1996,1,3,5,346,2.0  2.6,1.91,14.29,8.65,264,1018.7,14.5,13.6,999,99
1996,1,3,6,23,2.0  2.5,1.75,12.5,8.21,263,1018.9,14.4,13.6,999,99
1996,1,3,7,77,2.3  3.0,1.81,11.11,7.98,284,1018.9,14.1,13.4,999,99
1996,1,3,8,105,2.1  2.9,1.81,12.5,8.54,263,1018.8,14.1,13.4,999,99
1996,1,3,9,68,1.8  2.4,1.76,12.5,8.49,253,1018.8,14.1,13.4,999,99
1996,1,3,10,73,3.4  5.0,1.49,12.5,7.99,275,1018.8,13.6,13.4,999,99
1996,1,3,11,61,2.9  3.8,1.74,12.5,8.68,259,1019,13.6,13.4,999,99
1996,1,3,12,68,3.5  4.6,1.56,12.5,8.31,270,1018.9,13.7,13.4,999,99
1996,1,3,13,65,4.0  4.9,1.55,14.29,8.09,263,1018.7,13.7,13.4,999,99
1996,1,3,14,91,4.8  5.9,1.74,12.5,8.34,261,1018.1,13.5,13.4,999,99
1996,1,3,15,82,3.7  4.7,1.73,14.29,8.57,255,1018.1,13.4,13.4,999,99
1996,1,3,16,58,4.0  5.1,1.83,14.29,8.83,261,1018.8,12.9,13.4,999,99
1996,1,3,17,59,3.4  4.2,1.57,14.29,7.98,258,1018.7,13.4,13.4,999,99
1996,1,3,18,25,3.8  5.0,1.79,14.29,8.85,260,1019,13.4,13.4,999,99
1996,1,3,19,999,99.0 99.0,99,99,99,999,9999,999,999,999,99
1996,1,3,20,328,4.6  6.1,1.77,14.29,8.99,269,1018.8,13.3,13.4,999,99
1996,1,3,21,327,5.0  6.0,1.71,14.29,8.83,245,1018.2,13.4,13.6,999,99
1996,1,3,22,327,7.3  9.2,1.58,12.5,7.8,270,1017.2,12.9,13.6,999,99
1996,1,3,23,325,7.6  9.0,1.88,14.29,7,272,1016.7,12.9,13.4,999,99
1996,1,4,0,320,8.1  9.7,1.83,12.5,6.61,282,1016.7,12.9,13.4,999,99
1996,1,4,1,320,7.5  9.0,1.85,12.5,6.93,269,1016.5,13.2,13.4,999,99
1996,1,4,2,313,8.1  9.9,1.82,14.29,7.01,274,1016.5,12.6,13.4,999,99
1996,1,4,3,320,7.9 10.0,1.65,12.5,6.64,273,1016.1,13,13.4,999,99
1996,1,4,4,323,9.0 10.7,1.97,14.29,7.47,277,1016.1,12.6,13.4,999,99
1996,1,4,5,329,7.5  9.1,1.96,12.5,7.49,278,1016.6,13.3,13.4,999,99
1996,1,4,6,328,8.0  9.8,2.09,14.29,7.91,282,1016.5,13.4,13.4,999,99
1996,1,4,7,320,7.4  9.0,2,14.29,7.41,269,1016.7,13.4,13.4,999,99
1996,1,4,8,323,6.6  8.0,2.35,12.5,8.16,280,1016.6,13.3,13.4,999,99
1996,1,4,9,318,7.1  8.7,2.16,14.29,7.68,283,1016.5,13.4,13.4,999,99
1996,1,4,10,324,7.1  8.6,2.25,12.5,7.97,281,1016.5,13.4,13.4,999,99
1996,1,4,11,331,6.8  8.3,2.45,12.5,8.07,284,1016.5,13.2,13.4,999,99
1996,1,4,12,338,6.1  7.6,2.43,14.29,7.73,289,1016.4,13,13.4,999,99
1996,1,4,13,329,6.2  7.7,1.91,12.5,6.77,285,1016.3,12.7,13.4,999,99
1996,1,4,14,342,5.9  7.5,2.36,12.5,7.96,300,1016.5,12.7,13.4,999,99
1996,1,4,15,335,5.5  8.5,2.59,12.5,8.16,290,1016.6,12.5,13.4,999,99
1996,1,4,16,342,5.7  6.9,2.13,12.5,7.53,292,1016.7,12.7,13.5,999,99
1996,1,4,17,330,7.3  8.4,2.11,12.5,7.08,280,1017.9,12.5,13.4,999,99
1996,1,4,18,329,7.5  9.1,2.27,12.5,7.6,286,1018.2,12.8,13.5,999,99
1996,1,4,19,325,8.1  9.7,2.31,12.5,7.43,285,1018.2,12.3,13.5,999,99
1996,1,4,20,338,8.7 11.1,2.26,12.5,6.77,287,1018.1,12.7,13.5,999,99
1996,1,4,21,329,7.9  9.7,2.11,11.11,6.55,289,1017.1,12.9,13.4,999,99
1996,1,4,22,339,6.7  8.3,2.33,12.5,7.12,288,1016.7,12.8,13.4,999,99
1996,1,4,23,333,8.7 10.2,2.29,12.5,6.98,288,1017.8,12.8,13.4,999,99
1996,1,5,0,323,7.8  9.5,2.16,12.5,6.49,275,1017.9,12.6,13.4,999,99
1996,1,5,1,321,8.4 10.7,2.31,12.5,6.81,275,1018,12.9,13.4,999,99
1996,1,5,2,322,7.3  9.0,2.35,12.5,6.93,277,1018,12.8,13.4,999,99
1996,1,5,3,334,7.4  9.3,2.27,11.11,7.11,290,1018.2,12.6,13.4,999,99
1996,1,5,4,334,6.7  8.3,2.16,12.5,7.13,261,1018.4,12.5,13.4,999,99
1996,1,5,5,330,7.9 10.5,2.49,12.5,7.31,279,1018.9,12.6,13.4,999,99
1996,1,5,6,341,7.5  9.1,2.21,12.5,6.97,294,1019.1,12.6,13.5,999,99
1996,1,5,7,329,6.3  8.0,2.25,11.11,7.14,274,1020.2,12.6,13.4,999,99
1996,1,5,8,329,6.4  7.6,2.39,11.11,7.36,285,1020.3,12.6,13.4,999,99
1996,1,5,9,337,6.7  8.0,2.22,16.67,7.33,295,1020.3,12.6,13.4,999,99
1996,1,5,10,339,6.8  8.1,2.46,16.67,7.49,298,1020.2,12.7,13.4,999,99
