YY,MM,DD,hh,WD,WSPD GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2000,1,1,0,297,4.9  6.1,1.22,7.14,5.68,323,1017.4,11,11.6,6.5,99,
2000,1,1,1,305,5.2  6.4,1.33,6.67,5.6,320,1017.6,11.1,11.7,6.7,99,
2000,1,1,2,302,5.5  6.7,1.29,7.14,5.41,324,1018.1,11.2,11.6,6.7,99,
2000,1,1,3,304,2.4  3.1,1.22,7.14,5.7,320,1018.1,11.3,11.6,6.6,99,
2000,1,1,4,292,4.7  6.1,1.27,6.67,5.9,321,1018.5,11.5,11.6,7.2,99,
2000,1,1,5,294,5.6  6.5,1.25,7.14,6.1,319,1018.9,11.4,11.6,7.1,99,
2000,1,1,6,300,5.0  5.8,1.38,6.67,5.67,321,1018.7,11,11.6,7.5,99,
2000,1,1,7,297,4.9  5.9,1.41,6.67,5.88,318,1018.3,11.1,11.6,6.8,99,
2000,1,1,8,305,5.7  7.0,1.54,6.67,5.82,319,1018.6,11.2,11.6,7.9,99,
2000,1,1,9,299,7.2  8.8,1.73,7.14,6.1,315,1018.3,11.1,11.5,7.7,99,
2000,1,1,10,302,6.9  8.4,1.91,7.14,5.89,317,1018.2,10.6,11.5,8,99,
2000,1,1,11,301,7.3  9.3,2.08,6.67,6.01,312,1018.7,11.3,11.5,7.3,99,
2000,1,1,12,289,9.7 12.0,2.49,8.33,6.32,320,1018.7,11.1,11.5,7.3,99,
2000,1,1,13,289,8.3 10.4,2.56,8.33,6.29,317,1018.1,10.9,11.4,7.4,99,
2000,1,1,14,296,9.0 10.6,2.55,8.33,6.38,317,1018,11.1,11.4,6.4,99,
2000,1,1,15,315,7.2  8.5,2.35,8.33,6.22,316,1018.2,11.2,11.4,7.1,99,
2000,1,1,16,326,5.8  7.1,2.22,8.33,6.13,320,1018.9,11,11.5,7.4,99,
2000,1,1,17,326,5.7  7.4,2.02,8.33,6.39,319,1019.8,11,11.5,7.2,99,
2000,1,1,18,308,3.8  5.0,1.87,7.69,6.43,321,1020.5,10.9,11.5,7.1,99,
