YY,MM,DD,hh,WD,WSPD GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2004,1,1,0,271,3.0  4.1,2.08,20,9.1,293,1014.4,12.8,12.9,999,99,99
2004,1,1,1,295,1.4  2.3,2,20,9.54,291,1014.7,12.4,12.9,999,99,99
2004,1,1,2,302,0.4  1.3,2.12,20,9.83,295,1014.8,12.1,12.9,999,99,99
2004,1,1,3,203,1.0  1.7,2.36,20,11.01,292,1014.6,12.1,12.9,999,99,99
2004,1,1,4,203,3.3  4.0,2.62,20,11.57,292,1015,12.5,12.9,999,99,99
2004,1,1,5,204,4.0  4.8,2.76,20,11.81,295,1015.7,12.6,12.9,999,99,99
2004,1,1,6,191,4.9  6.0,2.51,20,11.26,290,1015.7,12.6,12.9,999,99,99
2004,1,1,7,184,6.4  8.1,3.12,20,12.29,288,1015.1,12.8,12.9,999,99,99
2004,1,1,8,177,7.1  8.3,3.29,16.67,12.11,289,1014.6,12.8,12.9,999,99,99
2004,1,1,9,161,8.7 11.0,3.2,16.67,10.99,290,1013.5,12.8,12.9,999,99,99
2004,1,1,10,172,9.1 10.8,2.94,16.67,9.55,287,1014.2,12.8,12.9,999,99,99
2004,1,1,11,170,9.0 10.7,2.88,16.67,9.17,288,1014.5,13.3,12.9,999,99,99
2004,1,1,12,176,9.9 11.8,2.86,16.67,8.13,281,1013.9,13,12.9,999,99,99
2004,1,1,13,175,10.9 13.7,2.59,16.67,6.89,284,1012.8,12.9,12.9,999,99,99
2004,1,1,14,169,12.7 16.1,3.01,16.67,7.63,291,1012.4,12.6,12.9,999,99,99
2004,1,1,15,182,11.8 14.3,3.24,16.67,7.22,292,1013.1,12.6,12.9,999,99,99
2004,1,1,16,178,12.5 16.2,3,16.67,6.65,295,1012.9,12.7,12.9,999,99,99
2004,1,1,17,167,14.6 17.2,3.56,14.29,6.68,289,1012.8,12.6,12.9,999,99,99
2004,1,1,18,170,15.4 19.7,3.54,14.29,6.59,285,1012.9,12.5,12.9,999,99,99
2004,1,1,19,190,14.7 18.1,3.42,14.29,6.7,285,1013.6,12.4,12.9,999,99,99
